seed,od,decision_step,timestamp,delay_min,missing_rate,noise,ablation,mode,distance_m,truth_exposure,max_truth_risk,p95_truth_risk,high_risk_length_ratio,computation_ms,route_id
4101,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,10280.604724805988,0.848819524777312,0.9264791958287948,0.9182750420427336,1.0,104.36289996141568,V1-d6176585c7f6
4101,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,101.3380999211222,V1-2b25d45952cd
4101,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,99.6437999419868,V1-dd130707c5f8
4101,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,101.07039991999045,V1-0cb5fc248f15
4101,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,97.54260000772774,V1-8181819dcf22
4101,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,98.33840001374483,V1-2b25d45952cd
4101,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,97.03800000716001,V1-dd130707c5f8
4101,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,96.09989996533841,V1-4a5e33be0d3e
4101,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,95.88350000558421,V1-2b25d45952cd
4101,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,10296.480341471814,0.8437829184303717,0.9264791958287948,0.9182750420427336,1.0,95.8279999322258,V1-d647e0eb5f34
4101,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,93.62089994829148,V1-4a5e33be0d3e
4101,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,94.48499995050952,V1-dd130707c5f8
4101,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,140.17090003471822,V1-afb6e7dd79f1
4101,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,137.57429999532178,V1-a09111667421
4101,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,136.8468999862671,V1-52f1eb38c8c0
4101,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,133.93780001206324,V1-8a14cec66c63
4101,0,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,123.39470000006258,V1-a09111667421
4101,0,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,trusted,10297.182344079098,0.3877891679724815,0.5003942524468895,0.49423398349759506,0.0,121.31740001495928,V1-211390acaf73
4101,1,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,trusted,5892.829947229073,0.4094888205411169,0.5265445806809449,0.5034674188221879,0.0,127.76030000532046,V1-27a4a127c066
4101,1,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,122.4134000367485,V1-8a14cec66c63
4101,0,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,trusted,10361.510411375662,0.38192455567109496,0.5003942524468895,0.49423398349759506,0.0,119.260800012853,V1-d5d3ef754115
4101,0,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,118.80540003767237,V1-a09111667421
4101,1,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,trusted,5860.074738436572,0.39968621793922887,0.5195053690650726,0.4953531595737097,0.0,119.08420000690967,V1-eebff7f6e1f7
4101,1,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,119.18050004169345,V1-8a14cec66c63
4102,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.8456097366019493,0.9226462954941541,0.9182750420427336,1.0,118.85689996415749,V1-2b25d45952cd
4102,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,10297.182344079098,0.8401488337118179,0.9226462954941541,0.9182750420427336,1.0,118.05799999274313,V1-8181819dcf22
4102,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,118.34810004802421,V1-4a5e33be0d3e
4102,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,122.68720002612099,V1-dd130707c5f8
4102,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.8456097366019493,0.9226462954941541,0.9182750420427336,1.0,114.4428999396041,V1-2b25d45952cd
4102,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,10280.604724805988,0.8453945959526855,0.9226462954941541,0.9182750420427336,1.0,112.46979993302375,V1-d6176585c7f6
