seed,od,decision_step,timestamp,delay_min,missing_rate,noise,ablation,mode,distance_m,truth_exposure,max_truth_risk,p95_truth_risk,high_risk_length_ratio,computation_ms,route_id
4101,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,99.60090002277866,V1-8181819dcf22
4101,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,96.20220004580915,V1-2b25d45952cd
4101,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,94.78360007051378,V1-dd130707c5f8
4101,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,95.85840004729107,V1-4a5e33be0d3e
4101,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,99.07210001256317,V1-8181819dcf22
4101,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,98.64719997858629,V1-2b25d45952cd
4101,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,99.76840001763776,V1-dd130707c5f8
4101,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,99.1422000224702,V1-4a5e33be0d3e
4101,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,94.37950002029538,V1-2b25d45952cd
4101,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,94.0165999927558,V1-8181819dcf22
4101,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,92.90919994236901,V1-4a5e33be0d3e
4101,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,92.65900001628324,V1-dd130707c5f8
4101,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,10297.182344079098,0.3877891679724815,0.5003942524468895,0.49423398349759506,0.0,96.36909997789189,V1-211390acaf73
4101,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,96.23030002694577,V1-a09111667421
4101,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,5824.124144846271,0.4053295822475841,0.5195053690650726,0.4953531595737097,0.0,96.39179997611791,V1-0c67dbcb3a72
