seed,od,decision_step,timestamp,delay_min,missing_rate,noise,ablation,mode,distance_m,truth_exposure,max_truth_risk,p95_truth_risk,high_risk_length_ratio,computation_ms,route_id
4101,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,96.6532999300398,V1-8181819dcf22
4101,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,93.51659996900707,V1-2b25d45952cd
4101,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,92.6254999358207,V1-dd130707c5f8
4101,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,92.28089993121102,V1-4a5e33be0d3e
4101,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,99.34110008180141,V1-8181819dcf22
4101,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,98.65660005016252,V1-2b25d45952cd
4101,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,98.68150000693277,V1-dd130707c5f8
4101,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,100.38100002566352,V1-4a5e33be0d3e
4101,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,91.249399993103,V1-2b25d45952cd
4101,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,90.88940004585311,V1-8181819dcf22
4101,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,92.01010002288967,V1-4a5e33be0d3e
4101,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,91.39309998136014,V1-dd130707c5f8
4101,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,10342.099962879767,0.3872016322143951,0.5003942524468895,0.49423398349759506,0.0,95.72549996664748,V1-5756b8cd04a5
4101,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,94.05629994580522,V1-a09111667421
4101,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,5868.716368049118,0.4331389203092072,0.5265445806809449,0.5034674188221879,0.0,93.16219994798303,V1-e926032c3c26
4101,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,92.70429995376617,V1-8a14cec66c63
4101,0,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,95.05960007663816,V1-a09111667421
4101,0,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,trusted,10297.182344079098,0.3877891679724815,0.5003942524468895,0.49423398349759506,0.0,94.85050005605444,V1-211390acaf73
4101,1,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,trusted,5824.124144846271,0.4053295822475841,0.5195053690650726,0.4953531595737097,0.0,95.83160007605329,V1-0c67dbcb3a72
4101,1,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,94.30560003966093,V1-8a14cec66c63
4101,0,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,trusted,10361.510411375662,0.38192455567109496,0.5003942524468895,0.49423398349759506,0.0,95.8089999621734,V1-d5d3ef754115
4101,0,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.3932281983892684,0.5003942524468895,0.49693800128235777,0.0,94.16709997458383,V1-a09111667421
4101,1,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,trusted,5860.074738436572,0.39968621793922887,0.5195053690650726,0.4953531595737097,0.0,95.05989990429953,V1-eebff7f6e1f7
4101,1,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.4120241681542821,0.5195053690650726,0.4967808434765646,0.0,96.98989993194118,V1-8a14cec66c63
4102,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.8456097366019493,0.9226462954941541,0.9182750420427336,1.0,98.40899996925145,V1-2b25d45952cd
4102,0,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,10297.182344079098,0.8401488337118179,0.9226462954941541,0.9182750420427336,1.0,98.80759997759014,V1-8181819dcf22
4102,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,99.4772999547422,V1-4a5e33be0d3e
4102,1,6,2023-09-07T13:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,98.70469995075837,V1-dd130707c5f8
4102,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.8456097366019493,0.9226462954941541,0.9182750420427336,1.0,99.59390002768487,V1-2b25d45952cd
4102,0,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,10351.740746041833,0.8393521613348619,0.92978711234191,0.9182750420427336,1.0,98.22079999139532,V1-497bb544b52f
4102,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,99.68729998217896,V1-dd130707c5f8
4102,1,6,2023-09-07T13:30:00+08:00,30,0.2,0.1,source_specific,trusted,5824.124144846271,0.8633531451957711,0.9401288869169386,0.9296278648093044,1.0,98.60919998027384,V1-4a5e33be0d3e
4102,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,10297.182344079098,0.8401488337118179,0.9226462954941541,0.9182750420427336,1.0,98.77040004357696,V1-8181819dcf22
4102,0,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.8456097366019493,0.9226462954941541,0.9182750420427336,1.0,95.8424000418745,V1-2b25d45952cd
4102,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.8700531448562527,0.9401288869169386,0.9357307911262569,1.0,98.06799999205396,V1-dd130707c5f8
4102,1,6,2023-09-07T13:30:00+08:00,60,0.4,0.1,source_specific,trusted,5892.829947229073,0.8637742872456754,0.9471680985145696,0.937641266060127,1.0,98.28269999707118,V1-48bf960f7235
4102,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,10287.541560917032,0.3838529704819358,0.482419329646247,0.4766929164560424,0.0,102.34330000821501,V1-eb949a5e4ebb
4102,0,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,10279.902722198703,0.3868187992660867,0.4856100550401691,0.482419329646247,0.0,102.18210000311956,V1-a09111667421
4102,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,trusted,5824.124144846271,0.40300664648625373,0.5157747144754293,0.4911488790649191,0.0,102.05829999176785,V1-0c67dbcb3a72
4102,1,10,2023-09-07T14:30:00+08:00,60,0.4,0.1,source_specific,shortest,5821.749393550344,0.40970096645722104,0.5157747144754293,0.49257656296779434,0.0,101.95699997711927,V1-8a14cec66c63
4102,0,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,trusted,10297.182344079098,0.3813337437061625,0.482419329646247,0.4766929164560424,0.0,97.73249994032085,V1-211390acaf73
4102,0,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,shortest,10279.902722198703,0.3868187992660867,0.4856100550401691,0.482419329646247,0.0,96.8444999307394,V1-a09111667421
4102,1,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,shortest,5821.749393550344,0.40970096645722104,0.5157747144754293,0.49257656296779434,0.0,96.94099996704608,V1-8a14cec66c63
4102,1,10,2023-09-07T14:30:00+08:00,30,0.2,0.1,source_specific,trusted,5860.074738436572,0.3973252796711451,0.5157747144754293,0.4911488790649191,0.0,95.7461999496445,V1-eebff7f6e1f7
4102,0,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,trusted,10361.510411375662,0.37651221514907834,0.482419329646247,0.4766929164560424,0.0,103.41019998304546,V1-d5d3ef754115
4102,0,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,shortest,10279.902722198703,0.3868187992660867,0.4856100550401691,0.482419329646247,0.0,103.61270001158118,V1-a09111667421
4102,1,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,trusted,5860.074738436572,0.3973252796711451,0.5157747144754293,0.4911488790649191,0.0,103.25799998827279,V1-eebff7f6e1f7
4102,1,10,2023-09-07T14:30:00+08:00,0,0.0,0.0,source_specific,shortest,5821.749393550344,0.40970096645722104,0.5157747144754293,0.49257656296779434,0.0,104.25159998703748,V1-8a14cec66c63
