RAIN01H,DDATETIME,MAXTOFDAY,UPDATETIME,RAIN03H,CD_TIME,PLEVEL,YBSX,INS,CD_BATCH,T,V,SLP,CD_OPERATION,KEYID,ID,UPDATESTATUS,WDIR,RAIN24H,RAIN02H,FORECASTTIME,DATA_SHARING_CD_TIME_IDATAT,CRTTIME,RECID,GRIDID,OPEN_ID,DMP_SHARE_CD_TIME_IDATAT,WD3SMAXDF,ADD_TIME,WSPD,TRACERR01H,WD3SMAXDD,BY2,BY1,RAIN06H,SEQ,RHSFC
0.0,2020-07-03 07:20:00,29.4,1593732919000,4.0,,0,0,24250643,,27.8,16.35,998.6,,430483750,,0,43.7,9.5,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892996,2723,18,,2.2,,0.6,-1.0,29.3,,,6.3,24212543,91.3
0.0,2020-07-03 07:20:00,29.3,1593732919000,4.5,,0,0,24250644,,27.7,16.49,999.1,,430483751,,0,48.2,9.9,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892997,2724,19,,2.3,,0.6,-1.0,24.9,,,7.5,24212544,93.1
0.0,2020-07-03 07:20:00,29.1,1593732919000,4.4,,0,0,24250645,,27.7,16.64,999.1,,430483752,,0,31.8,10.2,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892998,2725,20,,2.3,,0.6,-1.0,15.4,,,7.6,24212545,94.1
0.0,2020-07-03 07:20:00,29.1,1593732919000,4.2,,0,0,24250646,,27.6,16.79,999.0,,430483753,,0,4.1,11.5,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892999,2726,21,,2.6,,0.9,-1.0,357.4,,,7.8,24212546,95.3
0.0,2020-07-03 07:20:00,29.5,1593732919000,4.0,,0,0,24250647,,27.6,16.93,999.0,,430483754,,0,356.5,11.8,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893000,2727,22,,3.2,,1.3,-1.0,344.3,,,8.2,24212547,96.3
0.0,2020-07-03 07:20:00,29.7,1593732919000,4.1,,0,0,24250648,,27.6,17.42,998.7,,430483755,,0,87.0,10.9,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893001,2728,23,,3.7,,1.7,-1.0,109.0,,,8.6,24212548,97.0
0.0,2020-07-03 07:20:00,29.4,1593732919000,4.1,,0,0,24250649,,27.6,17.54,998.7,,430483756,,0,3.0,10.9,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893002,2729,24,,3.7,,1.7,-1.0,341.0,,,8.6,24212549,97.0
0.2,2020-07-03 07:20:00,29.6,1593732919000,3.4,,0,0,24250650,,27.6,17.64,999.8,,430483757,,0,330.6,14.0,0.2,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893003,2730,25,,3.0,,1.2,-1.0,335.6,,,7.2,24212550,95.4
0.5,2020-07-03 07:20:00,29.6,1593732919000,2.8,,0,0,24250651,,27.5,17.74,1000.8,,430483758,,0,342.0,15.2,0.6,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893004,2731,26,,2.6,,1.2,-1.0,339.8,,,5.5,24212551,94.0
0.9,2020-07-03 07:20:00,29.6,1593732919000,2.3,,0,0,24250652,,27.4,17.82,1001.7,,430483759,,0,348.8,14.9,1.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893005,2732,27,,2.2,,1.2,-1.0,336.4,,,3.8,24212552,93.6
1.4,2020-07-03 07:20:00,29.6,1593732919000,2.1,,0,0,24250653,,27.5,17.89,1002.3,,430483760,,0,340.8,9.5,1.6,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893006,2733,28,,2.5,,1.0,-1.0,302.3,,,2.7,24212553,93.1
1.9,2020-07-03 07:20:00,29.5,1593732919000,2.1,,0,0,24250654,,27.6,17.95,0.0,,430483761,,0,127.0,3.3,2.1,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893007,2734,29,,3.6,,0.8,-1.0,169.0,,,2.1,24212554,0.0
1.9,2020-07-03 07:20:00,29.5,1593732919000,2.1,,0,0,24250655,,27.6,18.02,1003.2,,430483762,,0,323.0,3.3,2.1,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893008,2735,30,,3.6,,0.8,-1.0,281.0,,,2.1,24212555,92.9
2.5,2020-07-03 07:20:00,29.5,1593732919000,3.1,,0,0,24250656,,27.5,18.1,1003.5,,430483763,,0,339.0,9.0,2.7,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893009,2736,31,,2.5,,0.9,-1.0,298.8,,,3.4,24212556,93.0
3.8,2020-07-03 07:20:00,29.5,1593732919000,4.3,,0,0,24250657,,27.3,18.18,1003.4,,430483764,,0,346.8,10.9,4.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893010,2737,32,,2.1,,0.8,-1.0,316.0,,,4.4,24212557,92.4
4.5,2020-07-03 07:20:00,29.4,1593732919000,5.1,,0,0,24250658,,27.2,18.81,1003.6,,430483765,,0,351.3,12.2,4.8,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893011,2738,33,,2.0,,0.7,-1.0,329.3,,,5.3,24212558,92.2
5.0,2020-07-03 07:20:00,29.3,1593732919000,5.3,,0,0,24250659,,27.1,18.89,1004.1,,430483766,,0,344.2,10.3,5.2,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893012,2739,34,,1.8,,0.5,-1.0,328.9,,,5.5,24212559,90.8
5.1,2020-07-03 07:20:00,29.2,1593732919000,5.4,,0,0,24250660,,27.1,18.98,1004.0,,430483767,,0,337.4,10.0,5.3,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893013,2740,35,,1.8,,0.5,-1.0,331.2,,,5.6,24212560,90.6
4.9,2020-07-03 07:20:00,29.2,1593732919000,5.2,,0,0,24250661,,27.1,19.05,1003.9,,430483768,,0,326.6,9.4,5.1,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893014,2741,36,,1.8,,0.4,-1.0,329.6,,,5.4,24212561,90.3
4.7,2020-07-03 07:20:00,29.3,1593732919000,4.8,,0,0,24250662,,27.2,19.13,1003.9,,430483769,,0,259.8,5.5,4.8,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893015,2742,37,,1.2,,0.4,-1.0,305.9,,,4.9,24212562,90.3
4.1,2020-07-03 07:20:00,29.2,1593732919000,4.3,,0,0,24250663,,27.3,19.2,1003.9,,430483770,,0,261.3,5.0,4.3,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893016,2743,38,,1.2,,0.5,-1.0,301.0,,,4.4,24212563,89.9
3.6,2020-07-03 07:20:00,29.2,1593732919000,3.7,,0,0,24250664,,27.4,19.26,1003.7,,430483771,,0,263.5,4.5,3.7,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893017,2744,39,,1.3,,0.6,-1.0,296.8,,,3.9,24212564,88.8
1.6,2020-07-03 07:20:00,29.2,1593732919000,1.6,,0,0,24250665,,27.5,19.31,1003.7,,430483772,,0,269.4,2.8,1.6,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408893018,2745,40,,1.6,,0.8,-1.0,276.9,,,2.1,24212565,88.6
0.1,2020-07-03 07:20:00,29.5,1593732941000,3.2,,0,0,24251220,,27.8,15.95,1001.3,,430481611,,0,345.3,18.3,0.1,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893553,3280,41,,3.0,,1.5,-1.0,346.6,,,4.9,24213120,90.0
0.1,2020-07-03 07:20:00,29.7,1593732941000,3.2,,0,0,24251221,,27.7,16.53,1001.9,,430481612,,0,341.4,21.7,0.2,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893554,3281,42,,3.4,,1.6,-1.0,343.7,,,4.4,24213121,89.2
0.1,2020-07-03 07:20:00,30.1,1593732941000,3.2,,0,0,24251222,,27.7,16.76,1002.4,,430481613,,0,340.0,23.9,0.1,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893555,3282,43,,3.6,,1.6,-1.0,343.5,,,3.8,24213122,88.5
0.2,2020-07-03 07:20:00,30.3,1593732941000,3.2,,0,0,24251223,,27.7,16.96,1002.5,,430481614,,0,339.9,24.3,0.2,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893556,3283,44,,3.6,,1.7,-1.0,342.7,,,3.5,24213123,88.3
0.3,2020-07-03 07:20:00,30.6,1593732941000,3.1,,0,0,24251224,,27.6,17.13,1002.3,,430481615,,0,341.4,23.4,0.3,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893557,3284,45,,3.4,,1.6,-1.0,343.8,,,3.5,24213124,88.6
0.4,2020-07-03 07:20:00,30.4,1593732941000,2.9,,0,0,24251225,,27.6,17.28,1002.2,,430481616,,0,344.5,21.8,0.4,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893558,3285,46,,3.1,,1.5,-1.0,345.3,,,3.6,24213125,89.0
0.5,2020-07-03 07:20:00,29.9,1593732941000,2.7,,0,0,24251226,,27.5,17.41,1002.0,,430481617,,0,346.7,20.3,0.6,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893559,3286,47,,2.9,,1.5,-1.0,345.5,,,3.6,24213126,89.5
0.6,2020-07-03 07:20:00,29.9,1593732941000,2.6,,0,0,24251227,,27.5,17.52,1001.8,,430481618,,0,347.6,19.1,0.7,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893560,3287,48,,2.7,,1.4,-1.0,344.0,,,3.6,24213127,89.9
0.7,2020-07-03 07:20:00,30.2,1593732941000,2.6,,0,0,24251228,,27.5,17.63,1002.3,,430481619,,0,347.6,18.1,0.8,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893561,3288,49,,2.6,,1.4,-1.0,341.7,,,3.6,24213128,89.8
0.7,2020-07-03 07:20:00,30.2,1593732941000,2.5,,0,0,24251229,,27.5,17.74,1002.4,,430481620,,0,347.3,17.4,0.8,2020-07-03 07:20:00,,2020-07-03 07:27:46,2408893562,3289,50,,2.6,,1.3,-1.0,339.4,,,3.6,24213129,89.9
