scenario_family,seed,od_id,condition_id,method,rain_delay_min,water_delay_min,water_missing_rate,water_noise_sigma,distance_m,truth_exposure,max_truth_risk,p95_truth_risk,high_risk_length_ratio,route_overlap_with_rain,rain_effective_weight_mean,water_effective_weight_mean,water_effective_weight_p90,fallback_fraction,confidence_mean,uncertainty_mean
moving_center,9101,OD01,M1_clean,rain_only,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9101,OD01,M1_clean,v2_naive,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.320661274095147,0.37803676744236264
moving_center,9101,OD01,M1_clean,v2_reliability_universal,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.2490228843614344,0.82228429205291,0.0,0.5415038140574632,0.4584961859425368
moving_center,9101,OD01,M1_clean,v2_reliability_source_specific,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.21362328582204565,0.7006129309877653,0.0,0.535603880967565,0.46439611903243494
moving_center,9101,OD02,M1_clean,rain_only,0,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9101,OD02,M1_clean,v2_naive,0,0,0.0,0.0,4934.65106276426,0.39999993167422043,0.47853894030018196,0.45210994220094464,0.0,0.7686259578269142,,,,,0.33755652231459327,0.3570788501909049
moving_center,9101,OD02,M1_clean,v2_reliability_universal,0,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.44468794718479354,1.0631659715492991,0.0,0.5741146578626032,0.4258853421373966
moving_center,9101,OD02,M1_clean,v2_reliability_source_specific,0,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.40935999986730526,0.9645121512134229,0.0,0.5682266666430219,0.431773333356978
moving_center,9101,OD01,M2_water_stale,rain_only,0,60,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9101,OD01,M2_water_stale,v2_naive,0,60,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.30683237636739796,0.3872482147990856
moving_center,9101,OD01,M2_water_stale,v2_reliability_universal,0,60,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.04580519976889261,0.1512507429222398,0.0,0.5076341999587062,0.49236580004129377
moving_center,9101,OD01,M2_water_stale,v2_reliability_source_specific,0,60,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.005317838568094963,0.017440731947248704,0.0,0.5008863064252398,0.49911369357476004
moving_center,9101,OD02,M2_water_stale,rain_only,0,60,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9101,OD02,M2_water_stale,v2_naive,0,60,0.0,0.0,4934.65106276426,0.39999993167422043,0.47853894030018196,0.45210994220094464,0.0,0.7686259578269142,,,,,0.31354084525716497,0.3744351884352507
moving_center,9101,OD02,M2_water_stale,v2_reliability_universal,0,60,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.08179577675300881,0.19555845174302489,0.0,0.5136326294573057,0.4863673705426942
moving_center,9101,OD02,M2_water_stale,v2_reliability_source_specific,0,60,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.010190417150231149,0.024010116207049095,0.0,0.5016984028568428,0.49830159714315714
moving_center,9101,OD01,M3_water_missing,rain_only,0,0,1.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9101,OD01,M3_water_missing,v2_naive,0,0,1.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.2974999999953086,0.405000000002776
moving_center,9101,OD01,M3_water_missing,v2_reliability_universal,0,0,1.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.0,0.0,0.0,0.4999999999972241,0.5000000000027759
moving_center,9101,OD01,M3_water_missing,v2_reliability_source_specific,0,0,1.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.0,0.0,0.0,0.4999999999972241,0.5000000000027759
moving_center,9101,OD02,M3_water_missing,rain_only,0,0,1.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9101,OD02,M3_water_missing,v2_naive,0,0,1.0,0.0,4934.65106276426,0.39999993167422043,0.47853894030018196,0.45210994220094464,0.0,0.7686259578269142,,,,,0.29749999999753546,0.4050000000014582
moving_center,9101,OD02,M3_water_missing,v2_reliability_universal,0,0,1.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.0,0.0,0.0,0.4999999999984709,0.500000000001529
moving_center,9101,OD02,M3_water_missing,v2_reliability_source_specific,0,0,1.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.0,0.0,0.0,0.4999999999984709,0.500000000001529
moving_center,9101,OD01,M4_water_degraded,rain_only,0,0,0.2,0.15,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9101,OD01,M4_water_degraded,v2_naive,0,0,0.2,0.15,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.31319553854312,0.3872482147990856
moving_center,9101,OD01,M4_water_degraded,v2_reliability_universal,0,0,0.2,0.15,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.10852033211876681,0.40027096104456544,0.0,0.5180867220170186,0.48191327798298145
moving_center,9101,OD01,M4_water_degraded,v2_reliability_source_specific,0,0,0.2,0.15,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.07882867334172022,0.32073846288456903,0.0,0.5131381122208442,0.4868618877791558
moving_center,9101,OD02,M4_water_degraded,rain_only,0,0,0.2,0.15,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9101,OD02,M4_water_degraded,v2_naive,0,0,0.2,0.15,4934.65106276426,0.39999993167422043,0.47853894030018196,0.45210994220094464,0.0,0.7686259578269142,,,,,0.328016069891556,0.3744351884352507
moving_center,9101,OD02,M4_water_degraded,v2_reliability_universal,0,0,0.2,0.15,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.22234397359239677,0.5315829857746496,0.0,0.5370573289305369,0.4629426710694628
moving_center,9101,OD02,M4_water_degraded,v2_reliability_source_specific,0,0,0.2,0.15,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.20467999993365263,0.48225607560671147,0.0,0.5341133333207462,0.4658866666792535
moving_center,9101,OD01,M5_rain_stale,rain_only,60,0,0.0,0.0,11795.538521401335,0.41194844484718807,0.4891364076462245,0.4523644544744463,0.0,1.0,,,,,0.33844908587251554,0.08000000000498818
moving_center,9101,OD01,M5_rain_stale,v2_naive,60,0,0.0,0.0,11795.538521401335,0.41194844484718807,0.4891364076462245,0.4523644544744463,0.0,1.0,,,,,0.155373019014549,0.34819504316332317
moving_center,9101,OD01,M5_rain_stale,v2_reliability_universal,60,0,0.0,0.0,11795.538521401335,0.41194844484718807,0.4891364076462245,0.4523644544744463,0.0,1.0,0.3678794411696073,0.5270196351760078,1.2300062355203125,0.0,0.2717763264474716,0.7282236735525284
moving_center,9101,OD01,M5_rain_stale,v2_reliability_source_specific,60,0,0.0,0.0,11795.538521401335,0.41194844484718807,0.4891364076462245,0.4523644544744463,0.0,1.0,0.3678794411696073,0.4624574882958445,1.0874665882905055,0.0,0.26101596863411103,0.738984031365889
moving_center,9101,OD02,M5_rain_stale,rain_only,60,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,,,,,0.33844908587453204,0.08000000000305797
moving_center,9101,OD02,M5_rain_stale,v2_naive,60,0,0.0,0.0,4934.65106276426,0.39999993167422043,0.47853894030018196,0.45210994220094464,0.0,0.7686259578269142,,,,,0.13435468406573944,0.3570788501909049
moving_center,9101,OD02,M5_rain_stale,v2_reliability_universal,60,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.3678794411703173,0.44468794718479354,1.0631659715492991,0.0,0.25805437844929086,0.741945621550709
moving_center,9101,OD02,M5_rain_stale,v2_reliability_source_specific,60,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.3678794411703173,0.40935999986730526,0.9645121512134229,0.0,0.2521663872297095,0.7478336127702903
moving_center,9101,OD01,M6_disagreement,rain_only,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9101,OD01,M6_disagreement,v2_naive,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,,,,,0.320661274095147,0.37803676744236264
moving_center,9101,OD01,M6_disagreement,v2_reliability_universal,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.2490228843614344,0.82228429205291,0.0,0.5415038140574632,0.4584961859425368
moving_center,9101,OD01,M6_disagreement,v2_reliability_source_specific,0,0,0.0,0.0,12026.07407166441,0.37246138895142566,0.4626532231580128,0.43265867634113814,0.0,1.0,0.9999999999944482,0.21362328582204565,0.7006129309877653,0.0,0.535603880967565,0.46439611903243494
moving_center,9101,OD02,M6_disagreement,rain_only,0,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9101,OD02,M6_disagreement,v2_naive,0,0,0.0,0.0,4934.65106276426,0.39999993167422043,0.47853894030018196,0.45210994220094464,0.0,0.7686259578269142,,,,,0.33755652231459327,0.3570788501909049
moving_center,9101,OD02,M6_disagreement,v2_reliability_universal,0,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.44468794718479354,1.0631659715492991,0.0,0.5741146578626032,0.4258853421373966
moving_center,9101,OD02,M6_disagreement,v2_reliability_source_specific,0,0,0.0,0.0,4936.13225699163,0.3997900580168504,0.47853894030018196,0.4594742537689726,0.0,1.0,0.9999999999969418,0.40935999986730526,0.9645121512134229,0.0,0.5682266666430219,0.431773333356978
moving_center,9102,OD01,M1_clean,rain_only,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9102,OD01,M1_clean,v2_naive,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.320661274095147,0.37803676744236264
moving_center,9102,OD01,M1_clean,v2_reliability_universal,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.2490228843614344,0.82228429205291,0.0,0.5415038140574632,0.4584961859425368
moving_center,9102,OD01,M1_clean,v2_reliability_source_specific,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.21362328582204565,0.7006129309877653,0.0,0.535603880967565,0.46439611903243494
moving_center,9102,OD02,M1_clean,rain_only,0,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9102,OD02,M1_clean,v2_naive,0,0,0.0,0.0,4934.65106276426,0.39881180476522077,0.4766163980408728,0.4512740406407054,0.0,0.7686259578269142,,,,,0.33755652231459327,0.3570788501909049
moving_center,9102,OD02,M1_clean,v2_reliability_universal,0,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.44468794718479354,1.0631659715492991,0.0,0.5741146578626032,0.4258853421373966
moving_center,9102,OD02,M1_clean,v2_reliability_source_specific,0,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.40935999986730526,0.9645121512134229,0.0,0.5682266666430219,0.431773333356978
moving_center,9102,OD01,M2_water_stale,rain_only,0,60,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9102,OD01,M2_water_stale,v2_naive,0,60,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.30683237636739796,0.3872482147990856
moving_center,9102,OD01,M2_water_stale,v2_reliability_universal,0,60,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.04580519976889261,0.1512507429222398,0.0,0.5076341999587062,0.49236580004129377
moving_center,9102,OD01,M2_water_stale,v2_reliability_source_specific,0,60,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.005317838568094963,0.017440731947248704,0.0,0.5008863064252398,0.49911369357476004
moving_center,9102,OD02,M2_water_stale,rain_only,0,60,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9102,OD02,M2_water_stale,v2_naive,0,60,0.0,0.0,4934.65106276426,0.39881180476522077,0.4766163980408728,0.4512740406407054,0.0,0.7686259578269142,,,,,0.31354084525716497,0.3744351884352507
moving_center,9102,OD02,M2_water_stale,v2_reliability_universal,0,60,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.08179577675300881,0.19555845174302489,0.0,0.5136326294573057,0.4863673705426942
moving_center,9102,OD02,M2_water_stale,v2_reliability_source_specific,0,60,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.010190417150231149,0.024010116207049095,0.0,0.5016984028568428,0.49830159714315714
moving_center,9102,OD01,M3_water_missing,rain_only,0,0,1.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9102,OD01,M3_water_missing,v2_naive,0,0,1.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.2974999999953086,0.405000000002776
moving_center,9102,OD01,M3_water_missing,v2_reliability_universal,0,0,1.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.0,0.0,0.0,0.4999999999972241,0.5000000000027759
moving_center,9102,OD01,M3_water_missing,v2_reliability_source_specific,0,0,1.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.0,0.0,0.0,0.4999999999972241,0.5000000000027759
moving_center,9102,OD02,M3_water_missing,rain_only,0,0,1.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9102,OD02,M3_water_missing,v2_naive,0,0,1.0,0.0,4934.65106276426,0.39881180476522077,0.4766163980408728,0.4512740406407054,0.0,0.7686259578269142,,,,,0.29749999999753546,0.4050000000014582
moving_center,9102,OD02,M3_water_missing,v2_reliability_universal,0,0,1.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.0,0.0,0.0,0.4999999999984709,0.500000000001529
moving_center,9102,OD02,M3_water_missing,v2_reliability_source_specific,0,0,1.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.0,0.0,0.0,0.4999999999984709,0.500000000001529
moving_center,9102,OD01,M4_water_degraded,rain_only,0,0,0.2,0.15,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9102,OD01,M4_water_degraded,v2_naive,0,0,0.2,0.15,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.3155446142203487,0.3872482147990856
moving_center,9102,OD01,M4_water_degraded,v2_reliability_universal,0,0,0.2,0.15,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.1245114421807172,0.411142146026455,0.0,0.5207519070273435,0.47924809297265636
moving_center,9102,OD01,M4_water_degraded,v2_reliability_source_specific,0,0,0.2,0.15,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.10681164291102282,0.35030646549388267,0.0,0.5178019404823946,0.48219805951760536
moving_center,9102,OD02,M4_water_degraded,rain_only,0,0,0.2,0.15,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9102,OD02,M4_water_degraded,v2_naive,0,0,0.2,0.15,4934.65106276426,0.39881180476522077,0.4766163980408728,0.4512740406407054,0.0,0.7686259578269142,,,,,0.328016069891556,0.3744351884352507
moving_center,9102,OD02,M4_water_degraded,v2_reliability_universal,0,0,0.2,0.15,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.22234397359239677,0.5315829857746496,0.0,0.5370573289305369,0.4629426710694628
moving_center,9102,OD02,M4_water_degraded,v2_reliability_source_specific,0,0,0.2,0.15,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.20467999993365263,0.48225607560671147,0.0,0.5341133333207462,0.4658866666792535
moving_center,9102,OD01,M5_rain_stale,rain_only,60,0,0.0,0.0,11795.538521401335,0.411797664414687,0.49025910412745377,0.45143167226964714,0.0,1.0,,,,,0.33844908587251554,0.08000000000498818
moving_center,9102,OD01,M5_rain_stale,v2_naive,60,0,0.0,0.0,11795.538521401335,0.411797664414687,0.49025910412745377,0.45143167226964714,0.0,1.0,,,,,0.155373019014549,0.34819504316332317
moving_center,9102,OD01,M5_rain_stale,v2_reliability_universal,60,0,0.0,0.0,11795.538521401335,0.411797664414687,0.49025910412745377,0.45143167226964714,0.0,1.0,0.3678794411696073,0.5270196351760078,1.2300062355203125,0.0,0.2717763264474716,0.7282236735525284
moving_center,9102,OD01,M5_rain_stale,v2_reliability_source_specific,60,0,0.0,0.0,11795.538521401335,0.411797664414687,0.49025910412745377,0.45143167226964714,0.0,1.0,0.3678794411696073,0.4624574882958445,1.0874665882905055,0.0,0.26101596863411103,0.738984031365889
moving_center,9102,OD02,M5_rain_stale,rain_only,60,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,,,,,0.33844908587453204,0.08000000000305797
moving_center,9102,OD02,M5_rain_stale,v2_naive,60,0,0.0,0.0,4934.65106276426,0.39881180476522077,0.4766163980408728,0.4512740406407054,0.0,0.7686259578269142,,,,,0.13435468406573944,0.3570788501909049
moving_center,9102,OD02,M5_rain_stale,v2_reliability_universal,60,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.3678794411703173,0.44468794718479354,1.0631659715492991,0.0,0.25805437844929086,0.741945621550709
moving_center,9102,OD02,M5_rain_stale,v2_reliability_source_specific,60,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.3678794411703173,0.40935999986730526,0.9645121512134229,0.0,0.2521663872297095,0.7478336127702903
moving_center,9102,OD01,M6_disagreement,rain_only,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9102,OD01,M6_disagreement,v2_naive,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,,,,,0.320661274095147,0.37803676744236264
moving_center,9102,OD01,M6_disagreement,v2_reliability_universal,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.2490228843614344,0.82228429205291,0.0,0.5415038140574632,0.4584961859425368
moving_center,9102,OD01,M6_disagreement,v2_reliability_source_specific,0,0,0.0,0.0,12026.07407166441,0.3717884046260101,0.4618181821398325,0.4318974009228362,0.0,1.0,0.9999999999944482,0.21362328582204565,0.7006129309877653,0.0,0.535603880967565,0.46439611903243494
moving_center,9102,OD02,M6_disagreement,rain_only,0,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9102,OD02,M6_disagreement,v2_naive,0,0,0.0,0.0,4934.65106276426,0.39881180476522077,0.4766163980408728,0.4512740406407054,0.0,0.7686259578269142,,,,,0.33755652231459327,0.3570788501909049
moving_center,9102,OD02,M6_disagreement,v2_reliability_universal,0,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.44468794718479354,1.0631659715492991,0.0,0.5741146578626032,0.4258853421373966
moving_center,9102,OD02,M6_disagreement,v2_reliability_source_specific,0,0,0.0,0.0,4936.13225699163,0.3986018902590104,0.4766163980408728,0.4585035667353866,0.0,1.0,0.9999999999969418,0.40935999986730526,0.9645121512134229,0.0,0.5682266666430219,0.431773333356978
moving_center,9103,OD01,M1_clean,rain_only,0,0,0.0,0.0,12026.07407166441,0.374120625361143,0.470417957788077,0.43522554549216297,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9103,OD01,M1_clean,v2_naive,0,0,0.0,0.0,12026.07407166441,0.374120625361143,0.470417957788077,0.43522554549216297,0.0,1.0,,,,,0.320661274095147,0.37803676744236264
moving_center,9103,OD01,M1_clean,v2_reliability_universal,0,0,0.0,0.0,12026.07407166441,0.374120625361143,0.470417957788077,0.43522554549216297,0.0,1.0,0.9999999999944482,0.2490228843614344,0.82228429205291,0.0,0.5415038140574632,0.4584961859425368
moving_center,9103,OD01,M1_clean,v2_reliability_source_specific,0,0,0.0,0.0,12026.07407166441,0.374120625361143,0.470417957788077,0.43522554549216297,0.0,1.0,0.9999999999944482,0.21362328582204565,0.7006129309877653,0.0,0.535603880967565,0.46439611903243494
moving_center,9103,OD02,M1_clean,rain_only,0,0,0.0,0.0,4936.13225699163,0.4038519546284183,0.47869744854557744,0.4656168620580142,0.0,1.0,,,,,0.9199999999913154,0.08000000000305797
moving_center,9103,OD02,M1_clean,v2_naive,0,0,0.0,0.0,4934.65106276426,0.4040450427061785,0.47869744854557744,0.4597699754279165,0.0,0.7686259578269142,,,,,0.33755652231459327,0.3570788501909049
moving_center,9103,OD02,M1_clean,v2_reliability_universal,0,0,0.0,0.0,4936.13225699163,0.4038519546284183,0.47869744854557744,0.4656168620580142,0.0,1.0,0.9999999999969418,0.44468794718479354,1.0631659715492991,0.0,0.5741146578626032,0.4258853421373966
moving_center,9103,OD02,M1_clean,v2_reliability_source_specific,0,0,0.0,0.0,4936.13225699163,0.4038519546284183,0.47869744854557744,0.4656168620580142,0.0,1.0,0.9999999999969418,0.40935999986730526,0.9645121512134229,0.0,0.5682266666430219,0.431773333356978
moving_center,9103,OD01,M2_water_stale,rain_only,0,60,0.0,0.0,12026.07407166441,0.374120625361143,0.470417957788077,0.43522554549216297,0.0,1.0,,,,,0.9199999999842324,0.0800000000055519
moving_center,9103,OD01,M2_water_stale,v2_naive,0,60,0.0,0.0,12026.07407166441,0.374120625361143,0.470417957788077,0.43522554549216297,0.0,1.0,,,,,0.30683237636739796,0.3872482147990856
