condition_id,method,truth_exposure,rain_effective_weight_mean,water_effective_weight_mean,fallback_fraction,confidence_mean,route_overlap_with_rain
M1_clean,rain_only,0.4986862405616121,,,,0.9199999999873114,1.0
M1_clean,v2_naive,0.49959515442077534,,,,0.3391996797210262,0.8840119193618938
M1_clean,v2_reliability_source_specific,0.49911074708777586,0.9999999999955224,0.3700263884529977,0.0,0.5616710647399276,0.9727934111917246
M1_clean,v2_reliability_universal,0.49911074708777586,0.9999999999955224,0.4043746071779492,0.0,0.5673957678607527,0.9727934111917246
M2_water_stale,rain_only,0.4986862405616121,,,,0.9199999999873114,1.0
M2_water_stale,v2_naive,0.49959515442077534,,,,0.3130663580113677,0.8840119193618938
M2_water_stale,v2_reliability_source_specific,0.4986862405616121,0.9999999999955321,0.009245805996073135,0.0,0.5015409676637782,1.0
M2_water_stale,v2_reliability_universal,0.4986862405616121,0.9999999999955321,0.0746357809396986,0.0,0.5124392968210492,1.0
M3_water_missing,rain_only,0.4986862405616121,,,,0.9199999999873114,1.0
M3_water_missing,v2_naive,0.49959515442077534,,,,0.2974999999961521,0.8840119193618938
M3_water_missing,v2_reliability_source_specific,0.4986862405616121,0.9999999999955321,0.0,0.0,0.49999999999776606,1.0
M3_water_missing,v2_reliability_universal,0.4986862405616121,0.9999999999955321,0.0,0.0,0.49999999999776606,1.0
M4_water_degraded,rain_only,0.4986862405616121,,,,0.9199999999873114,1.0
M4_water_degraded,v2_naive,0.49959515442077534,,,,0.33027658650143826,0.8840119193618938
M4_water_degraded,v2_reliability_source_specific,0.49890171220453605,0.9999999999955272,0.17515985591583727,0.0,0.5291933093170699,0.9863967055958623
M4_water_degraded,v2_reliability_universal,0.49890171220453605,0.9999999999955272,0.1979367329235671,0.0,0.5329894554850249,0.9863967055958623
M5_rain_stale,rain_only,0.5151522870353507,,,,0.33844908587335204,1.0
M5_rain_stale,v2_naive,0.5153898641436757,,,,0.13443821560580377,0.9111773038282537
M5_rain_stale,v2_reliability_source_specific,0.5150497955528299,0.3678794411699364,0.3944568560483406,0.0,0.24968252992635828,0.850865048518601
M5_rain_stale,v2_reliability_universal,0.5150497955528299,0.3678794411699364,0.43954324577432197,0.0,0.2571969282140218,0.850865048518601
M6_disagreement,rain_only,0.4986862405616121,,,,0.9199999999873114,1.0
M6_disagreement,v2_naive,0.49959515442077534,,,,0.3391996797210262,0.8840119193618938
M6_disagreement,v2_reliability_source_specific,0.49911074708777586,0.9999999999955224,0.3700263884529977,0.0,0.5616710647399276,0.9727934111917246
M6_disagreement,v2_reliability_universal,0.49911074708777586,0.9999999999955224,0.4043746071779492,0.0,0.5673957678607527,0.9727934111917246
