scenario_family,comparison,mean_difference,ci_low,ci_high,bootstrap_unit,iterations,bootstrap_seed
moving_center,S2_v1_redundant_naive-minus-rain,0.004757866735587937,0.003974322344564084,0.0055291727229407625,seed,2000,9301
moving_center,S3_v2_local_naive-minus-rain,0.0047528497272093795,0.003988939240228242,0.005563239051571532,seed,2000,9301
moving_center,S4_v2_reliability_universal-minus-rain,0.0019675891607170474,0.0014514389326415354,0.002552981551032973,seed,2000,9301
moving_center,S5_v2_reliability_source_specific-minus-rain,0.0016573123928492518,0.0012609205187581645,0.0020663531776193584,seed,2000,9301
moving_center,S6_perfect_water_v2-minus-rain,0.0059188529790951865,0.0051691557885804726,0.006773553141039115,seed,2000,9301
moving_center,reliability-minus-naive,-0.0030955373343601275,-0.0035257826133641714,-0.0026749264787884223,seed,2000,9301
moving_center,source_specific-minus-universal,-0.00031027676786779534,-0.0005503409044945358,-0.0001154761091125839,seed,2000,9301
dual_center,S2_v1_redundant_naive-minus-rain,0.00202208579505204,0.0017073253629449362,0.0023085287488507525,seed,2000,9301
dual_center,S3_v2_local_naive-minus-rain,0.0020741223762673435,0.0017874003732605052,0.002319382768530492,seed,2000,9301
dual_center,S4_v2_reliability_universal-minus-rain,0.0013582592346659955,0.0012567176181488052,0.001463832487086552,seed,2000,9301
dual_center,S5_v2_reliability_source_specific-minus-rain,0.0011726139574129157,0.0010769743206578122,0.001258485049484458,seed,2000,9301
dual_center,S6_perfect_water_v2-minus-rain,0.007735261130128239,0.00734255072859952,0.00818224343723355,seed,2000,9301
dual_center,reliability-minus-naive,-0.0009015084188544279,-0.001139097271945004,-0.0006260979807252187,seed,2000,9301
dual_center,source_specific-minus-universal,-0.00018564527725307978,-0.00023204520738424954,-0.00013503945350836757,seed,2000,9301
anisotropic_band,S2_v1_redundant_naive-minus-rain,0.0018341070153462629,0.0016314245729191167,0.002062116735244929,seed,2000,9301
anisotropic_band,S3_v2_local_naive-minus-rain,0.0017999766781175476,0.001581099963892749,0.0020289209546582965,seed,2000,9301
anisotropic_band,S4_v2_reliability_universal-minus-rain,-0.00015412994587290138,-0.00039747151247974353,8.399853633922327e-05,seed,2000,9301
anisotropic_band,S5_v2_reliability_source_specific-minus-rain,4.338269338735138e-05,-0.00015127994176952937,0.00022079212286063576,seed,2000,9301
anisotropic_band,S6_perfect_water_v2-minus-rain,0.0066745826063636425,0.006339674404497332,0.006995339543189909,seed,2000,9301
anisotropic_band,reliability-minus-naive,-0.0017565939847301963,-0.0019585370041289105,-0.0015570354774891017,seed,2000,9301
anisotropic_band,source_specific-minus-universal,0.00019751263926025275,1.1338776360931882e-05,0.00038502601736188353,seed,2000,9301
all_families,S2_v1_redundant_naive-minus-rain,0.0028713531819954136,0.0026185349626039697,0.0031190313820682394,seed,2000,9301
all_families,S3_v2_local_naive-minus-rain,0.0028756495938647574,0.002621436937977118,0.003144559870318168,seed,2000,9301
all_families,S4_v2_reliability_universal-minus-rain,0.0010572394831700471,0.0008716401472865374,0.0012409485127430357,seed,2000,9301
all_families,S5_v2_reliability_source_specific-minus-rain,0.0009577696812165063,0.0008412660906095866,0.001091807492958519,seed,2000,9301
all_families,S6_perfect_water_v2-minus-rain,0.006776232238529023,0.006468440799609801,0.007097823052064073,seed,2000,9301
all_families,reliability-minus-naive,-0.0019178799126482503,-0.002083671058851746,-0.0017479865875505386,seed,2000,9301
all_families,source_specific-minus-universal,-9.946980195354078e-05,-0.00020612947446272485,1.937149244521273e-06,seed,2000,9301
