scenario_family,seed,od_id,decision_step,condition_id,failure_type,difference,stress_case,policy
moving_center,9201,OD06,4.0,C00_clean,trusted_worse_than_naive,0.024005212948686017,,
moving_center,9201,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.024005212948686017,,
moving_center,9201,OD06,4.0,C01_typical,trusted_worse_than_naive,0.024005212948686017,,
moving_center,9201,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.026694298388802495,,
moving_center,9201,OD06,4.0,C07_disagreement,trusted_worse_than_naive,0.026694298388802495,,
moving_center,9201,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.02400000915661038,,
moving_center,9201,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.02400000915661038,,
moving_center,9201,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.02400000915661038,,
moving_center,9202,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.018411276460794268,,
moving_center,9202,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.02083663381976364,,
moving_center,9202,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.02083663381976364,,
moving_center,9202,OD06,4.0,C02_degraded,multisource_worse_than_rain_only,0.02122331760348073,,
moving_center,9202,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.02083663381976364,,
moving_center,9202,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.011031693673487053,,
moving_center,9202,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.02417745785397829,,
moving_center,9202,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.02417745785397829,,
moving_center,9203,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.017227241353026168,,
moving_center,9203,OD05,8.0,C07_disagreement,multisource_worse_than_rain_only,0.012678789218204423,,
moving_center,9203,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.02191793229417227,,
moving_center,9203,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.02191793229417227,,
moving_center,9203,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.02191793229417227,,
moving_center,9203,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.011291203170039399,,
moving_center,9203,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.022173764948017982,,
moving_center,9203,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.022173764948017982,,
moving_center,9203,OD07,4.0,C02_degraded,multisource_worse_than_rain_only,0.02252519984255341,,
moving_center,9203,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.022173764948017982,,
moving_center,9204,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.023092734069013188,,
moving_center,9204,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.023092734069013188,,
moving_center,9204,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.023092734069013188,,
moving_center,9204,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.011470468755623853,,
moving_center,9204,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.022436699182072528,,
moving_center,9204,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.022436699182072528,,
moving_center,9204,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.022436699182072528,,
moving_center,9204,OD08,4.0,C00_clean,multisource_worse_than_rain_only,0.046527599876199255,,
moving_center,9204,OD08,4.0,C01_typical,multisource_worse_than_rain_only,0.046527599876199255,,
moving_center,9204,OD08,4.0,C02_degraded,multisource_worse_than_rain_only,0.047423850983250915,,
moving_center,9204,OD08,4.0,C07_disagreement,multisource_worse_than_rain_only,0.046527599876199255,,
moving_center,9205,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.01729942423802172,,
moving_center,9205,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.022644633799549285,,
moving_center,9205,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.022644633799549285,,
moving_center,9205,OD06,4.0,C07_disagreement,multisource_worse_than_rain_only,0.022644633799549285,,
moving_center,9205,OD06,8.0,C05_rain_stale,multisource_worse_than_rain_only,0.011370443380540385,,
moving_center,9205,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.024089310483185855,,
moving_center,9205,OD07,4.0,C01_typical,multisource_worse_than_rain_only,0.024089310483185855,,
moving_center,9205,OD07,4.0,C07_disagreement,multisource_worse_than_rain_only,0.024089310483185855,,
moving_center,9206,OD05,4.0,C05_rain_stale,multisource_worse_than_rain_only,0.017355796249867328,,
moving_center,9206,OD06,4.0,C00_clean,multisource_worse_than_rain_only,0.024155349905448487,,
moving_center,9206,OD06,4.0,C00_clean,trusted_worse_than_naive,0.024155349905448487,,
moving_center,9206,OD06,4.0,C01_typical,multisource_worse_than_rain_only,0.024155349905448487,,
moving_center,9206,OD06,4.0,C01_typical,trusted_worse_than_naive,0.024155349905448487,,
moving_center,9206,OD07,4.0,C00_clean,multisource_worse_than_rain_only,0.025757171422022107,,
moving_center,9206,OD08,4.0,C00_clean,multisource_worse_than_rain_only,0.046246149060614306,,
moving_center,9206,OD08,4.0,C01_typical,multisource_worse_than_rain_only,0.046246149060614306,,
moving_center,9206,OD08,4.0,C02_degraded,multisource_worse_than_rain_only,0.04702348933371042,,
moving_center,9206,OD08,4.0,C03_water_stale,multisource_worse_than_rain_only,0.04702348933371042,,
