scenario_family,seed,comparison,mean_difference
anisotropic_band,9211,S5_v2_reliability_source_specific-minus-rain,0.00018776552306359884
anisotropic_band,9211,S6_perfect_water_v2-minus-rain,0.005727311582271799
anisotropic_band,9211,reliability-minus-naive,-0.001296342046042509
anisotropic_band,9211,source_specific-minus-universal,-7.29334328612441e-05
anisotropic_band,9212,S2_v1_redundant_naive-minus-rain,0.001473702384880704
anisotropic_band,9212,S3_v2_local_naive-minus-rain,0.0014656817742577655
anisotropic_band,9212,S4_v2_reliability_universal-minus-rain,-0.0010113546306654286
anisotropic_band,9212,S5_v2_reliability_source_specific-minus-rain,-0.0006533816371412371
anisotropic_band,9212,S6_perfect_water_v2-minus-rain,0.006637462118516513
anisotropic_band,9212,reliability-minus-naive,-0.0021190634113990026
anisotropic_band,9212,source_specific-minus-universal,0.00035797299352419154
dual_center,9201,S2_v1_redundant_naive-minus-rain,0.002461122886987188
dual_center,9201,S3_v2_local_naive-minus-rain,0.002377146825239984
dual_center,9201,S4_v2_reliability_universal-minus-rain,0.001498251918322091
dual_center,9201,S5_v2_reliability_source_specific-minus-rain,0.0014179247469660594
dual_center,9201,S6_perfect_water_v2-minus-rain,0.00749888666806009
dual_center,9201,reliability-minus-naive,-0.0009592220782739247
dual_center,9201,source_specific-minus-universal,-8.032717135603162e-05
dual_center,9202,S2_v1_redundant_naive-minus-rain,0.0009348272052043805
dual_center,9202,S3_v2_local_naive-minus-rain,0.000946657528415662
dual_center,9202,S4_v2_reliability_universal-minus-rain,0.0010741364767709038
dual_center,9202,S5_v2_reliability_source_specific-minus-rain,0.0008977933587857589
dual_center,9202,S6_perfect_water_v2-minus-rain,0.008833367281681936
dual_center,9202,reliability-minus-naive,-4.886416962990303e-05
dual_center,9202,source_specific-minus-universal,-0.0001763431179851449
dual_center,9203,S2_v1_redundant_naive-minus-rain,0.0023629383292477213
dual_center,9203,S3_v2_local_naive-minus-rain,0.0023629383292477213
dual_center,9203,S4_v2_reliability_universal-minus-rain,0.001033635719902004
dual_center,9203,S5_v2_reliability_source_specific-minus-rain,0.0009318654608317933
dual_center,9203,S6_perfect_water_v2-minus-rain,0.007182399945403206
dual_center,9203,reliability-minus-naive,-0.001431072868415928
dual_center,9203,source_specific-minus-universal,-0.00010177025907021076
dual_center,9204,S2_v1_redundant_naive-minus-rain,0.0013691659234432718
dual_center,9204,S3_v2_local_naive-minus-rain,0.0013789122728574132
dual_center,9204,S4_v2_reliability_universal-minus-rain,0.0013858181145034454
dual_center,9204,S5_v2_reliability_source_specific-minus-rain,0.0011319224443072096
dual_center,9204,S6_perfect_water_v2-minus-rain,0.009385467675381842
dual_center,9204,reliability-minus-naive,-0.0002469898285502037
dual_center,9204,source_specific-minus-universal,-0.0002538956701962358
dual_center,9205,S2_v1_redundant_naive-minus-rain,0.0024340277009389233
dual_center,9205,S3_v2_local_naive-minus-rain,0.002443643486842173
dual_center,9205,S4_v2_reliability_universal-minus-rain,0.0013100953892493106
dual_center,9205,S5_v2_reliability_source_specific-minus-rain,0.001131454302668422
dual_center,9205,S6_perfect_water_v2-minus-rain,0.007080265343969161
dual_center,9205,reliability-minus-naive,-0.001312189184173751
dual_center,9205,source_specific-minus-universal,-0.0001786410865808885
dual_center,9206,S2_v1_redundant_naive-minus-rain,0.0024582127507001283
dual_center,9206,S3_v2_local_naive-minus-rain,0.002467938150863991
dual_center,9206,S4_v2_reliability_universal-minus-rain,0.0015940499761311622
dual_center,9206,S5_v2_reliability_source_specific-minus-rain,0.0013234918586466082
dual_center,9206,S6_perfect_water_v2-minus-rain,0.0072651128303202195
dual_center,9206,reliability-minus-naive,-0.0011444462922173826
dual_center,9206,source_specific-minus-universal,-0.00027055811748455394
dual_center,9207,S2_v1_redundant_naive-minus-rain,0.0021530703204030166
dual_center,9207,S3_v2_local_naive-minus-rain,0.0021775201976629854
dual_center,9207,S4_v2_reliability_universal-minus-rain,0.0011711504660015803
dual_center,9207,S5_v2_reliability_source_specific-minus-rain,0.000981922243401545
dual_center,9207,S6_perfect_water_v2-minus-rain,0.007112114744528941
dual_center,9207,reliability-minus-naive,-0.0011955979542614403
dual_center,9207,source_specific-minus-universal,-0.00018922822260003525
dual_center,9208,S2_v1_redundant_naive-minus-rain,0.0025444870162820155
dual_center,9208,S3_v2_local_naive-minus-rain,0.002561256245927568
dual_center,9208,S4_v2_reliability_universal-minus-rain,0.0016947771613585183
dual_center,9208,S5_v2_reliability_source_specific-minus-rain,0.0013473929979782584
dual_center,9208,S6_perfect_water_v2-minus-rain,0.008671644521897504
dual_center,9208,reliability-minus-naive,-0.0012138632479493094
dual_center,9208,source_specific-minus-universal,-0.0003473841633802599
dual_center,9209,S2_v1_redundant_naive-minus-rain,0.0023112939615236305
dual_center,9209,S3_v2_local_naive-minus-rain,0.0023196489005520293
dual_center,9209,S4_v2_reliability_universal-minus-rain,0.0013401427669936794
dual_center,9209,S5_v2_reliability_source_specific-minus-rain,0.0011360595967174203
dual_center,9209,S6_perfect_water_v2-minus-rain,0.007087213885818122
dual_center,9209,reliability-minus-naive,-0.001183589303834609
dual_center,9209,source_specific-minus-universal,-0.0002040831702762591
dual_center,9210,S2_v1_redundant_naive-minus-rain,0.0023819575550869665
dual_center,9210,S3_v2_local_naive-minus-rain,0.0023819575550869665
dual_center,9210,S4_v2_reliability_universal-minus-rain,0.0014386428495024584
dual_center,9210,S5_v2_reliability_source_specific-minus-rain,0.0012071011775741103
dual_center,9210,S6_perfect_water_v2-minus-rain,0.007068623962083187
dual_center,9210,reliability-minus-naive,-0.0011748563775128562
dual_center,9210,source_specific-minus-universal,-0.00023154167192834807
dual_center,9211,S2_v1_redundant_naive-minus-rain,0.001419040197321475
dual_center,9211,S3_v2_local_naive-minus-rain,0.001419040197321475
dual_center,9211,S4_v2_reliability_universal-minus-rain,0.001403267333506264
dual_center,9211,S5_v2_reliability_source_specific-minus-rain,0.0012264830051033626
dual_center,9211,S6_perfect_water_v2-minus-rain,0.007630810459191839
dual_center,9211,reliability-minus-naive,-0.0001925571922181124
dual_center,9211,source_specific-minus-universal,-0.00017678432840290137
dual_center,9212,S2_v1_redundant_naive-minus-rain,0.0014348856934857657
dual_center,9212,S3_v2_local_naive-minus-rain,0.0020528088251901555
dual_center,9212,S4_v2_reliability_universal-minus-rain,0.0013551426437505287
dual_center,9212,S5_v2_reliability_source_specific-minus-rain,0.0013379562959744407
dual_center,9212,S6_perfect_water_v2-minus-rain,0.008007226243202825
dual_center,9212,reliability-minus-naive,-0.0007148525292157148
dual_center,9212,source_specific-minus-universal,-1.7186347776088073e-05
moving_center,9201,S2_v1_redundant_naive-minus-rain,0.0029544829759916014
moving_center,9201,S3_v2_local_naive-minus-rain,0.0028777873259258624
moving_center,9201,S4_v2_reliability_universal-minus-rain,0.001082447924288077
moving_center,9201,S5_v2_reliability_source_specific-minus-rain,0.0011808908131489826
moving_center,9201,S6_perfect_water_v2-minus-rain,0.005109024025659437
moving_center,9201,reliability-minus-naive,-0.0016968965127768798
moving_center,9201,source_specific-minus-universal,9.844288886090569e-05
moving_center,9202,S2_v1_redundant_naive-minus-rain,0.0037150947736871998
moving_center,9202,S3_v2_local_naive-minus-rain,0.0037150947736871998
moving_center,9202,S4_v2_reliability_universal-minus-rain,0.0010382821091661776
moving_center,9202,S5_v2_reliability_source_specific-minus-rain,0.0009265431468823415
moving_center,9202,S6_perfect_water_v2-minus-rain,0.004576633949748332
moving_center,9202,reliability-minus-naive,-0.0027885516268048582
moving_center,9202,source_specific-minus-universal,-0.00011173896228383606
moving_center,9203,S2_v1_redundant_naive-minus-rain,0.003945757882324985
moving_center,9203,S3_v2_local_naive-minus-rain,0.003915679357661017
moving_center,9203,S4_v2_reliability_universal-minus-rain,0.0012630491388304077
moving_center,9203,S5_v2_reliability_source_specific-minus-rain,0.001163876199648195
moving_center,9203,S6_perfect_water_v2-minus-rain,0.0047839681559228575
moving_center,9203,reliability-minus-naive,-0.002751803158012822
moving_center,9203,source_specific-minus-universal,-9.91729391822127e-05
moving_center,9204,S2_v1_redundant_naive-minus-rain,0.0063450121597486975
moving_center,9204,S3_v2_local_naive-minus-rain,0.0063450121597486975
moving_center,9204,S4_v2_reliability_universal-minus-rain,0.003344234844610272
moving_center,9204,S5_v2_reliability_source_specific-minus-rain,0.002324285745195054
moving_center,9204,S6_perfect_water_v2-minus-rain,0.007429962678065283
moving_center,9204,reliability-minus-naive,-0.004020726414553644
moving_center,9204,source_specific-minus-universal,-0.0010199490994152183
moving_center,9205,S2_v1_redundant_naive-minus-rain,0.00374103486398103
moving_center,9205,S3_v2_local_naive-minus-rain,0.00374103486398103
moving_center,9205,S4_v2_reliability_universal-minus-rain,0.0008083288424215462
moving_center,9205,S5_v2_reliability_source_specific-minus-rain,0.0010026110533244426
moving_center,9205,S6_perfect_water_v2-minus-rain,0.004920437468505345
moving_center,9205,reliability-minus-naive,-0.0027384238106565872
moving_center,9205,source_specific-minus-universal,0.00019428221090289632
moving_center,9206,S2_v1_redundant_naive-minus-rain,0.00531979839602037
moving_center,9206,S3_v2_local_naive-minus-rain,0.00531979839602037
moving_center,9206,S4_v2_reliability_universal-minus-rain,0.0028518061457045163
moving_center,9206,S5_v2_reliability_source_specific-minus-rain,0.00264230200372495
moving_center,9206,S6_perfect_water_v2-minus-rain,0.007606315494024796
moving_center,9206,reliability-minus-naive,-0.00267749639229542
moving_center,9206,source_specific-minus-universal,-0.00020950414197956624
moving_center,9207,S2_v1_redundant_naive-minus-rain,0.003750980053266073
moving_center,9207,S3_v2_local_naive-minus-rain,0.0037975501274530865
moving_center,9207,S4_v2_reliability_universal-minus-rain,0.0012807154791055764
