scenario_family,seed,timestamp,water_mean,water_p95,water_max,local_state_mean,disturbance_mean
moving_center,9201,2023-09-07 12:00:00+08:00,0.0,0.0,0.0,0.5000044556131815,0.0
moving_center,9201,2023-09-07 12:15:00+08:00,0.0033746666740626097,0.00664987787604332,0.022377463057637215,0.5000044556131815,0.0
moving_center,9201,2023-09-07 12:30:00+08:00,0.010591753758490086,0.023801876232028008,0.049739763140678406,0.5000044556131815,0.0
moving_center,9201,2023-09-07 12:45:00+08:00,0.02884580008685589,0.06353192031383514,0.0856170728802681,0.5000044556131815,0.0
moving_center,9201,2023-09-07 13:00:00+08:00,0.05635877326130867,0.09910453110933304,0.1575438380241394,0.5000044556131815,0.01079004630446434
moving_center,9201,2023-09-07 13:15:00+08:00,0.08720482885837555,0.1521875411272049,0.24685800075531006,0.5000044556131815,0.028701307252049446
moving_center,9201,2023-09-07 13:30:00+08:00,0.11177382618188858,0.1978326290845871,0.34008902311325073,0.5000044556131815,0.046546854078769684
moving_center,9201,2023-09-07 13:45:00+08:00,0.12540128827095032,0.2225388139486313,0.38285988569259644,0.5000044556131815,0.046546854078769684
moving_center,9201,2023-09-07 14:00:00+08:00,0.14070279896259308,0.24871449172496796,0.437221497297287,0.5000044556131815,0.04319313168525696
moving_center,9201,2023-09-07 14:15:00+08:00,0.1582799106836319,0.28078052401542664,0.4911833107471466,0.5000044556131815,0.027692057192325592
moving_center,9201,2023-09-07 14:30:00+08:00,0.1607266217470169,0.28328460454940796,0.4839387834072113,0.5000044556131815,0.012435048818588257
moving_center,9201,2023-09-07 14:45:00+08:00,0.15090309083461761,0.2621888518333435,0.41920506954193115,0.5000044556131815,0.0
moving_center,9202,2023-09-07 12:00:00+08:00,0.0,0.0,0.0,0.5000044556131815,0.0
moving_center,9202,2023-09-07 12:15:00+08:00,0.003348034340888262,0.006570241414010525,0.02252589911222458,0.5000044556131815,0.0
moving_center,9202,2023-09-07 12:30:00+08:00,0.01069589052349329,0.023877138271927834,0.04868749529123306,0.5000044556131815,0.0
moving_center,9202,2023-09-07 12:45:00+08:00,0.028792930766940117,0.06303738802671432,0.08686193078756332,0.5000044556131815,0.0
moving_center,9202,2023-09-07 13:00:00+08:00,0.05760038271546364,0.10009979456663132,0.16402336955070496,0.5000044556131815,0.06979286670684814
moving_center,9202,2023-09-07 13:15:00+08:00,0.08939235657453537,0.15802481770515442,0.28368139266967773,0.5000044556131815,0.08484472334384918
moving_center,9202,2023-09-07 13:30:00+08:00,0.11509077996015549,0.2077282816171646,0.40169158577919006,0.5000044556131815,0.08484472334384918
moving_center,9202,2023-09-07 13:45:00+08:00,0.12901052832603455,0.23432637751102448,0.4594191312789917,0.5000044556131815,0.08484472334384918
moving_center,9202,2023-09-07 14:00:00+08:00,0.14355242252349854,0.2627120912075043,0.517887532711029,0.5000044556131815,0.08484472334384918
moving_center,9202,2023-09-07 14:15:00+08:00,0.16183064877986908,0.29788681864738464,0.5610401630401611,0.5000044556131815,0.056563153862953186
moving_center,9202,2023-09-07 14:30:00+08:00,0.1633811891078949,0.2986626923084259,0.5248462557792664,0.5000044556131815,0.028281576931476593
moving_center,9202,2023-09-07 14:45:00+08:00,0.1534690409898758,0.27576613426208496,0.44520536065101624,0.5000044556131815,0.0
moving_center,9203,2023-09-07 12:00:00+08:00,0.0,0.0,0.0,0.5000044556131815,0.0
moving_center,9203,2023-09-07 12:15:00+08:00,0.003384955693036318,0.006697388365864754,0.023039883002638817,0.5000044556131815,0.0
moving_center,9203,2023-09-07 12:30:00+08:00,0.010739859193563461,0.024234933778643608,0.04959715157747269,0.5000044556131815,0.0
moving_center,9203,2023-09-07 12:45:00+08:00,0.029497120529413223,0.06515752524137497,0.08794928342103958,0.5000044556131815,0.0
moving_center,9203,2023-09-07 13:00:00+08:00,0.05695725604891777,0.10077031701803207,0.16375796496868134,0.5000044556131815,0.0
moving_center,9203,2023-09-07 13:15:00+08:00,0.08931455761194229,0.15583579242229462,0.24940411746501923,0.5000044556131815,0.05380728840827942
moving_center,9203,2023-09-07 13:30:00+08:00,0.11412885785102844,0.1999749094247818,0.3343234956264496,0.5000044556131815,0.05380728840827942
moving_center,9203,2023-09-07 13:45:00+08:00,0.12802579998970032,0.2250261753797531,0.3915060758590698,0.5000044556131815,0.05380728840827942
moving_center,9203,2023-09-07 14:00:00+08:00,0.1419800966978073,0.24975033104419708,0.4405186176300049,0.5000044556131815,0.05380728840827942
moving_center,9203,2023-09-07 14:15:00+08:00,0.15931403636932373,0.28227365016937256,0.49631983041763306,0.5000044556131815,0.03587152808904648
moving_center,9203,2023-09-07 14:30:00+08:00,0.16104421019554138,0.28447747230529785,0.48423704504966736,0.5000044556131815,0.01793576404452324
moving_center,9203,2023-09-07 14:45:00+08:00,0.1514325737953186,0.2640652656555176,0.4200306534767151,0.5000044556131815,0.0
dual_center,9201,2023-09-07 12:00:00+08:00,0.0,0.0,0.0,0.5000044556131815,0.0
dual_center,9201,2023-09-07 12:15:00+08:00,0.00595250865444541,0.0105286231264472,0.02051733247935772,0.5000044556131815,0.0
dual_center,9201,2023-09-07 12:30:00+08:00,0.014102909713983536,0.02571764960885048,0.047753460705280304,0.5000044556131815,0.0
dual_center,9201,2023-09-07 12:45:00+08:00,0.028869392350316048,0.05293929576873779,0.09442545473575592,0.5000044556131815,0.10364222526550293
dual_center,9201,2023-09-07 13:00:00+08:00,0.05151258781552315,0.09504852443933487,0.16794785857200623,0.5000044556131815,0.10364222526550293
dual_center,9201,2023-09-07 13:15:00+08:00,0.08496522158384323,0.15648485720157623,0.2784291207790375,0.5000044556131815,0.10364222526550293
dual_center,9201,2023-09-07 13:30:00+08:00,0.13025698065757751,0.239866241812706,0.40457674860954285,0.5000044556131815,0.16530199348926544
dual_center,9201,2023-09-07 13:45:00+08:00,0.1770143210887909,0.3236916959285736,0.535951554775238,0.5000044556131815,0.13421402871608734
dual_center,9201,2023-09-07 14:00:00+08:00,0.2184472233057022,0.39254993200302124,0.6416974067687988,0.5000044556131815,0.10441776365041733
dual_center,9201,2023-09-07 14:15:00+08:00,0.2527438998222351,0.45743173360824585,0.7236114144325256,0.5000044556131815,0.05403022840619087
dual_center,9201,2023-09-07 14:30:00+08:00,0.28380948305130005,0.5119285583496094,0.7868345379829407,0.5000044556131815,0.027015114203095436
dual_center,9201,2023-09-07 14:45:00+08:00,0.30505698919296265,0.5451770424842834,0.7911139726638794,0.5000044556131815,0.0
dual_center,9202,2023-09-07 12:00:00+08:00,0.0,0.0,0.0,0.5000044556131815,0.0
dual_center,9202,2023-09-07 12:15:00+08:00,0.00603775167837739,0.010695802047848701,0.020757272839546204,0.5000044556131815,0.0
dual_center,9202,2023-09-07 12:30:00+08:00,0.01434743870049715,0.026253193616867065,0.048897210508584976,0.5000044556131815,0.0
dual_center,9202,2023-09-07 12:45:00+08:00,0.028264252468943596,0.05353070795536041,0.09959305077791214,0.5000044556131815,0.040723711252212524
dual_center,9202,2023-09-07 13:00:00+08:00,0.049065541476011276,0.09486288577318192,0.17483706772327423,0.5000044556131815,0.040723711252212524
dual_center,9202,2023-09-07 13:15:00+08:00,0.07977528870105743,0.15622654557228088,0.28605005145072937,0.5000044556131815,0.040723711252212524
dual_center,9202,2023-09-07 13:30:00+08:00,0.1255025416612625,0.23906564712524414,0.4319766163825989,0.5000044556131815,0.17308606207370758
dual_center,9202,2023-09-07 13:45:00+08:00,0.17360541224479675,0.3236781060695648,0.5613248348236084,0.5000044556131815,0.16035154461860657
dual_center,9202,2023-09-07 14:00:00+08:00,0.218999445438385,0.4004642367362976,0.6650786399841309,0.5000044556131815,0.14788901805877686
dual_center,9202,2023-09-07 14:15:00+08:00,0.260448157787323,0.46691426634788513,0.7367077469825745,0.5000044556131815,0.1367422342300415
dual_center,9202,2023-09-07 14:30:00+08:00,0.29615354537963867,0.5225250124931335,0.7923499345779419,0.5000044556131815,0.09116149693727493
