scenario_family,method,truth_exposure_mean,truth_exposure_sd,distance_m_mean,water_effective_weight_mean,fallback_fraction
anisotropic_band,S0_shortest,0.4673750671307559,0.0008075534434673374,10950.795041533209,,
anisotropic_band,S1_rain_only,0.45204718641379765,0.0007874722885494578,11116.907659388378,,
anisotropic_band,S2_v1_redundant_naive,0.4538812934291439,0.0009546474640847165,11081.4347652331,,
anisotropic_band,S3_v2_local_naive,0.4538471630919152,0.0009544896925176674,11081.615613852162,,
anisotropic_band,S4_v2_reliability_universal,0.4518930564679247,0.0008289960895517272,11156.28784635194,0.2597069649383162,0.0
anisotropic_band,S5_v2_reliability_source_specific,0.452090569107185,0.0007834284189727982,11136.173038807574,0.18968342651491787,0.0
anisotropic_band,S6_perfect_water_v2,0.45872176902016126,0.001156376021925355,11003.829077112501,3.0,0.0
dual_center,S0_shortest,0.4841809699108542,0.0010572678476733063,10950.795041533209,,
dual_center,S1_rain_only,0.4516891099508065,0.0013710622118186348,11245.823445305314,,
dual_center,S2_v1_redundant_naive,0.4537111957458586,0.0014434425558642727,11181.642005235151,,
dual_center,S3_v2_local_naive,0.4537632323270739,0.0013801816754885523,11180.498314164352,,
dual_center,S4_v2_reliability_universal,0.45304736918547256,0.0014207267521267133,11215.6903835686,0.23936730264821962,0.0
dual_center,S5_v2_reliability_source_specific,0.4528617239082195,0.0013810979564335896,11221.08081563707,0.17714909839447257,0.0
dual_center,S6_perfect_water_v2,0.45942437108093476,0.002010264919143119,11091.255326234115,3.0,0.0
moving_center,S0_shortest,0.4059789244169216,0.0005907340352498257,10950.795041533209,,
moving_center,S1_rain_only,0.3907400321070766,0.001207742854259468,11159.725913479277,,
moving_center,S2_v1_redundant_naive,0.3954978988426645,0.0008995639912127675,11043.965863267114,,
moving_center,S3_v2_local_naive,0.39549288183428594,0.0009122860449973571,11044.046843564027,,
moving_center,S4_v2_reliability_universal,0.39270762126779357,0.0006077529296477262,11105.169504831725,0.23562926158441913,0.0
moving_center,S5_v2_reliability_source_specific,0.3923973444999258,0.0005808374614222617,11110.497018383934,0.17339350097371334,0.0
moving_center,S6_perfect_water_v2,0.3966588850861717,0.0007312450744187208,10989.812615906267,2.9999999999999996,0.0
