scenario_family,seed,stress_case,od_id,policy,mean_truth_exposure,planner_calls,route_change_count,missed_useful_replan,unnecessary_replan,route_oscillation
dual_center,9201,water_recovery,OD02,always,0.5157124508313724,12,1,False,True,False
dual_center,9201,water_recovery,OD02,triggered,0.5155869447739654,2,0,False,False,False
dual_center,9201,rain_stale_water_fresh,OD01,never,0.5228023555958493,1,0,False,False,False
dual_center,9201,rain_stale_water_fresh,OD01,always,0.5022073091826073,12,3,False,True,False
dual_center,9201,rain_stale_water_fresh,OD01,triggered,0.5228023555958493,2,0,True,False,False
dual_center,9201,rain_stale_water_fresh,OD02,never,0.506306478469769,1,0,False,False,False
dual_center,9201,rain_stale_water_fresh,OD02,always,0.5122241511840381,12,3,False,True,False
dual_center,9201,rain_stale_water_fresh,OD02,triggered,0.506306478469769,1,0,False,False,False
dual_center,9201,water_stale_rain_fresh,OD01,never,0.49239391344966305,1,0,False,False,False
dual_center,9201,water_stale_rain_fresh,OD01,always,0.49300839573593597,12,1,False,True,False
dual_center,9201,water_stale_rain_fresh,OD01,triggered,0.49239391344966305,2,0,False,False,False
dual_center,9201,water_stale_rain_fresh,OD02,never,0.5155869447739654,1,0,False,False,False
dual_center,9201,water_stale_rain_fresh,OD02,always,0.5157124508313724,12,1,False,True,False
dual_center,9201,water_stale_rain_fresh,OD02,triggered,0.5155869447739654,2,0,False,False,False
dual_center,9201,sources_disagreement,OD01,never,0.49239391344966305,1,0,False,False,False
dual_center,9201,sources_disagreement,OD01,always,0.49300839573593597,12,1,False,True,False
dual_center,9201,sources_disagreement,OD01,triggered,0.49239391344966305,2,0,False,False,False
dual_center,9201,sources_disagreement,OD02,never,0.5155869447739654,1,0,False,False,False
dual_center,9201,sources_disagreement,OD02,always,0.5138851928261541,12,2,False,True,False
dual_center,9201,sources_disagreement,OD02,triggered,0.5155869447739654,2,0,False,False,False
anisotropic_band,9201,rain_down_water_high,OD01,never,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,rain_down_water_high,OD01,always,0.4547818059080866,12,2,False,True,False
anisotropic_band,9201,rain_down_water_high,OD01,triggered,0.44733075166320496,1,0,False,False,False
anisotropic_band,9201,rain_down_water_high,OD02,never,0.4242679161960887,1,0,False,False,False
anisotropic_band,9201,rain_down_water_high,OD02,always,0.3999714716840856,12,4,False,True,False
anisotropic_band,9201,rain_down_water_high,OD02,triggered,0.3995055509401098,2,1,False,False,False
anisotropic_band,9201,water_gradually_stale,OD01,never,0.44733075166320496,1,0,False,False,False
