condition_id,method,rain_effective_weight_mean,water_effective_weight_mean,water_effective_weight_p90,fallback_fraction,low_reliability_water_usage,source_disagreement_fraction,truth_exposure
C00_clean,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C00_clean,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C00_clean,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.43341717260475493
C00_clean,S3_v2_local_naive,,,0.0,,0.0,0.0,0.43341717260475493
C00_clean,S4_v2_reliability_universal,0.9999999999948235,0.5303131330282485,1.443260986125833,0.0,0.34569150360080614,0.8336854598425074,0.4333289696649364
C00_clean,S5_v2_reliability_source_specific,0.9999999999948217,0.4770184026627767,1.3025768235103812,0.0,0.34614656739025895,0.8287508147287602,0.43327829298789955
C01_typical,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C01_typical,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C01_typical,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.4334654521497574
C01_typical,S3_v2_local_naive,,,0.0,,0.0,0.0,0.4334618800362169
C01_typical,S4_v2_reliability_universal,0.9999999999948099,0.435018059391467,1.1799900265795176,0.0,0.3464086015990103,0.8318171500116311,0.43297037474988653
C01_typical,S5_v2_reliability_source_specific,0.9999999999948184,0.2606419869434603,0.7252256952320095,0.0,0.3420817049771141,0.8166536878275273,0.4319593859052024
C02_degraded,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C02_degraded,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C02_degraded,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.43335901400601134
C02_degraded,S3_v2_local_naive,,,0.0,,0.0,0.0,0.43336362034806153
C02_degraded,S4_v2_reliability_universal,0.9999999999948385,0.1344163114901208,0.38086131098074316,0.0,0.42584569803664407,0.806130650894242,0.43137895694151596
C02_degraded,S5_v2_reliability_source_specific,0.9999999999948526,0.03590000945680156,0.11078472186097063,0.0,0.4184252132423026,0.800469429431557,0.4308449099203634
C03_water_stale,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C03_water_stale,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C03_water_stale,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.43335892640350177
C03_water_stale,S3_v2_local_naive,,,0.0,,0.0,0.0,0.4333655409082218
C03_water_stale,S4_v2_reliability_universal,0.9999999999948267,0.06310946731708661,0.19922914313693063,0.0,0.30356147332054945,0.804870971901158,0.4300528329769828
C03_water_stale,S5_v2_reliability_source_specific,0.9999999999948356,0.007192561815675345,0.023688669741367564,0.0,0.29577459338969503,0.8015943782252299,0.43050771910292746
C04_water_missing,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C04_water_missing,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C04_water_missing,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.4331077088328693
C04_water_missing,S3_v2_local_naive,,,0.0,,0.0,0.0,0.4331077088328693
C04_water_missing,S4_v2_reliability_universal,0.999999999994832,0.0,0.0,0.0,0.0,0.8011421762978445,0.43047109508710446
C04_water_missing,S5_v2_reliability_source_specific,0.999999999994832,0.0,0.0,0.0,0.0,0.8011421762978445,0.43047109508710446
C05_rain_stale,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C05_rain_stale,S1_rain_only,,,0.0,,0.0,0.0,0.4386392103147509
C05_rain_stale,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.44162655528674644
C05_rain_stale,S3_v2_local_naive,,,0.0,,0.0,0.0,0.44161884701521775
C05_rain_stale,S4_v2_reliability_universal,0.36787944116958016,0.4959340233792906,1.3797849227209344,0.0,0.34220507062418465,0.9187251876523592,0.43997078839149373
C05_rain_stale,S5_v2_reliability_source_specific,0.36787944116958016,0.44496946882147864,1.2438587031484039,0.0,0.3421874770326081,0.917598569764799,0.4399706600912001
C06_asynchronous,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C06_asynchronous,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C06_asynchronous,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.43325136769290395
C06_asynchronous,S3_v2_local_naive,,,0.0,,0.0,0.0,0.43324950920671196
C06_asynchronous,S4_v2_reliability_universal,0.9999999999948206,0.05266160810340451,0.16062310876351063,0.0,0.27609652612788893,0.8030936382639887,0.4300186156882688
C06_asynchronous,S5_v2_reliability_source_specific,0.9999999999948346,0.005269940372609349,0.017499984736911976,0.0,0.26725639402250606,0.8012747882101464,0.4305295012225884
C07_disagreement,S0_shortest,,,0.0,,0.0,0.0,0.4525116538195106
C07_disagreement,S1_rain_only,,,0.0,,0.0,0.0,0.43047109508710446
C07_disagreement,S2_v1_redundant_naive,,,0.0,,0.0,0.0,0.43332150440390005
C07_disagreement,S3_v2_local_naive,,,0.0,,0.0,0.0,0.4333577937233458
C07_disagreement,S4_v2_reliability_universal,0.9999999999948486,0.24775680841292877,0.677564794465759,0.0,0.4421116301510618,0.8079723436885452,0.43220315828965367
C07_disagreement,S5_v2_reliability_source_specific,0.9999999999948476,0.20961036561547491,0.5859833680891966,0.0,0.4423598222225608,0.8049285399479433,0.4320374690569283
