scenario_family,seed,method,truth_exposure,distance_m,max_truth_risk,p95_truth_risk,high_risk_length_ratio,rain_effective_weight_mean,water_effective_weight_mean,water_effective_weight_p90,fallback_fraction,low_reliability_water_usage,source_disagreement_fraction
anisotropic_band,9201,S0_shortest,0.46670129027526036,10950.795041533209,0.6323194595330892,0.6025155906557926,0.09174714268180338,,,0.0,,0.0,0.0
anisotropic_band,9201,S1_rain_only,0.451356072813547,11115.70299172713,0.6285924224499853,0.5927040697345243,0.07146139453478288,,,0.0,,0.0,0.0
anisotropic_band,9201,S2_v1_redundant_naive,0.4529251771035496,11082.832130618624,0.6304265421753045,0.5927563271444566,0.07146190885944033,,,0.0,,0.0,0.0
anisotropic_band,9201,S3_v2_local_naive,0.45284852348912563,11084.404574953503,0.6304265421753045,0.5927563271444566,0.07145945642143764,,,0.0,,0.0,0.0
anisotropic_band,9201,S4_v2_reliability_universal,0.45105456305842595,11154.367013945548,0.6305005638355783,0.594400198704137,0.07072432932939907,0.9209849301416225,0.25998233849597774,0.7091215399267256,0.0,0.3137475930293445,0.8060820499813788
anisotropic_band,9201,S5_v2_reliability_source_specific,0.45133103031651484,11134.605356969892,0.6297282211172615,0.5941114888942306,0.07129946471301984,0.9209849301416476,0.19032712610669433,0.5201315336241766,0.0,0.3001709700879553,0.7976742429887119
anisotropic_band,9202,S0_shortest,0.46655060207695154,10950.795041533209,0.6304025597668645,0.5997069773309496,0.09077474801824385,,,0.0,,0.0,0.0
anisotropic_band,9202,S1_rain_only,0.451613570998397,11107.990858413275,0.6288783616830401,0.5914904650548364,0.07146139453478288,,,0.0,,0.0,0.0
anisotropic_band,9202,S2_v1_redundant_naive,0.45373880056348487,11075.298897109618,0.6280752640106608,0.5912097929727717,0.07146190885944033,,,0.0,,0.0,0.0
anisotropic_band,9202,S3_v2_local_naive,0.45369780524538805,11074.005004130777,0.62788713691458,0.5912809169591925,0.07206357886147144,,,0.0,,0.0,0.0
anisotropic_band,9202,S4_v2_reliability_universal,0.4511729769515793,11155.588029624709,0.6290426514093157,0.591992254378988,0.07079363842174122,0.920984930141594,0.26062230631136674,0.7204393325912837,0.0,0.3099104279519324,0.8061221909677123
anisotropic_band,9202,S5_v2_reliability_source_specific,0.45181558759413737,11124.97835593802,0.6293092954841741,0.5923781380720108,0.07169494957717347,0.9209849301416508,0.1899225216593885,0.527338994579498,0.0,0.30360310966549636,0.7966654652750168
anisotropic_band,9203,S0_shortest,0.46705574283540247,10950.795041533209,0.6317818687162744,0.6026839685075378,0.09030926394386392,,,0.0,,0.0,0.0
anisotropic_band,9203,S1_rain_only,0.4516138459967821,11128.957161353188,0.6268394278192201,0.5938993436682317,0.07273890350067894,,,0.0,,0.0,0.0
anisotropic_band,9203,S2_v1_redundant_naive,0.45355553462854153,11087.092970292726,0.6275397592483443,0.5934787382961579,0.07273886628565321,,,0.0,,0.0,0.0
anisotropic_band,9203,S3_v2_local_naive,0.4535134234103105,11087.238342059729,0.6275397592483443,0.593502623655123,0.0727337065827563,,,0.0,,0.0,0.0
anisotropic_band,9203,S4_v2_reliability_universal,0.45190209586589825,11157.78887156623,0.6292403595579802,0.5958491899356119,0.07090539917546666,0.9209849301415892,0.2624762571371546,0.7182311439724112,0.0,0.316389321204876,0.8095344682531056
anisotropic_band,9203,S5_v2_reliability_source_specific,0.45190639564915924,11139.632352641598,0.6278006556312365,0.5945462479387336,0.07201026730403416,0.9209849301416213,0.1910880390815277,0.5214112563892651,0.0,0.30861646003645055,0.7961192611252996
anisotropic_band,9204,S0_shortest,0.46832062060434837,10950.795041533209,0.6358330211105638,0.6040203855867102,0.09069547088157606,,,0.0,,0.0,0.0
anisotropic_band,9204,S1_rain_only,0.45239229948684495,11128.957161353188,0.630294367961782,0.593407478269139,0.07177330025061986,,,0.0,,0.0,0.0
anisotropic_band,9204,S2_v1_redundant_naive,0.45429479317432264,11083.222644936375,0.6322396233291548,0.5931902386176002,0.0717748363637089,,,0.0,,0.0,0.0
anisotropic_band,9204,S3_v2_local_naive,0.4542864631185859,11083.105993246538,0.6322396233291548,0.5931902386176002,0.07177510649830834,,,0.0,,0.0,0.0
