scenario_family,seed,local_min,local_mean,local_max,patch_count
moving_center,9101,1.3366839544458108e-05,0.5000044556131815,1.0,3
moving_center,9102,1.3366839544458108e-05,0.5000044556131815,1.0,1
moving_center,9103,1.3366839544458108e-05,0.5000044556131815,1.0,1
moving_center,9104,1.3366839544458108e-05,0.5000044556131815,1.0,2
dual_center,9101,1.3366839544458108e-05,0.5000044556131815,1.0,1
dual_center,9102,1.3366839544458108e-05,0.5000044556131815,1.0,3
dual_center,9103,1.3366839544458108e-05,0.5000044556131815,1.0,3
dual_center,9104,1.3366839544458108e-05,0.5000044556131815,1.0,2
anisotropic_band,9101,1.3366839544458108e-05,0.5000044556131815,1.0,1
anisotropic_band,9102,1.3366839544458108e-05,0.5000044556131815,1.0,2
anisotropic_band,9103,1.3366839544458108e-05,0.5000044556131815,1.0,2
anisotropic_band,9104,1.3366839544458108e-05,0.5000044556131815,1.0,1
