u,v,key,rain,static,water,local,residual
12333484726,12333484729,0,0.0711355793737107,0.4055811598729449,0.3624064326286316,0.6849747812293928,0.24984894443192077
12333484729,12333484726,0,0.0711355793737107,0.4055811598729449,0.3624064326286316,0.6849747812293928,0.24984894443192077
12333484729,5903376064,0,0.0711355793737107,0.4055811598729449,0.3623749017715454,0.6841549484039994,0.24981741357483458
5903376064,12333484729,0,0.0711355793737107,0.4055811598729449,0.3623749017715454,0.6841549484039994,0.24981741357483458
9422950959,13891709997,0,0.0323699285992405,0.4190423080179806,0.3595810532569885,0.48480190343795115,0.2470235650602777
13891709997,9422950959,0,0.0323699285992405,0.4190423080179806,0.3595810532569885,0.48480190343795115,0.2470235650602777
8338346355,8338346356,0,0.0323699285992405,0.42450035832638394,0.3580211400985718,0.4853187545670035,0.24546365190186095
8338346356,8338346355,0,0.0323699285992405,0.42450035832638394,0.3580211400985718,0.4853187545670035,0.24546365190186095
13527768314,5567121743,0,0.0787805005750162,0.3864478819441981,0.41429603099823,0.6155295941827514,0.24409466168715638
5567121743,13527768314,0,0.0787805005750162,0.3864478819441981,0.41429603099823,0.6155295941827514,0.24409466168715638
13390679425,13390679427,0,0.0711355793737107,0.4069687202870914,0.3556177020072937,0.6703336363150296,0.24306021381058288
13390679427,13390679425,0,0.0711355793737107,0.4069687202870914,0.3556177020072937,0.6703336363150296,0.24306021381058288
13390679427,13390679426,0,0.0711355793737107,0.4069687202870914,0.35561081767082214,0.6694246912260066,0.24305332947411132
13390679426,13390679427,0,0.0711355793737107,0.4069687202870914,0.35561081767082214,0.6694246912260066,0.24305332947411132
11991756545,13390679427,0,0.0711355793737107,0.4069687202870914,0.3555923104286194,0.6698524300914291,0.24303482223190856
13390679427,11991756545,0,0.0711355793737107,0.4069687202870914,0.3555923104286194,0.6698524300914291,0.24303482223190856
9422950949,13948158709,0,0.0323699285992405,0.4276331273981402,0.35339343547821045,0.4841692063661801,0.24083594728149962
13948158709,9422950949,0,0.0323699285992405,0.4276331273981402,0.35339343547821045,0.4841692063661801,0.24083594728149962
13948158768,9422950959,0,0.0323699285992405,0.4235063800241617,0.3489759564399719,0.4845969452316028,0.2364184682432611
9422950959,13948158768,0,0.0323699285992405,0.4235063800241617,0.3489759564399719,0.4845969452316028,0.2364184682432611
13948158767,9422950959,0,0.0323699285992405,0.4235063800241617,0.34886327385902405,0.4844721880625212,0.23630578566231322
9422950959,13948158767,0,0.0323699285992405,0.4235063800241617,0.34886327385902405,0.4844721880625212,0.23630578566231322
2550435228,2550435205,0,0.06919332503339748,0.4012442635817228,0.3481519818305969,0.6133374324974603,0.2355944936338861
2550435205,2550435228,0,0.0691933250333975,0.4012442635817228,0.3481519818305969,0.6133374324974603,0.2355944936338861
12336602020,12336602021,0,0.047784481698088396,0.40497576132754953,0.3455212712287903,0.6600099805735266,0.23296378303207946
5169912244,5169911631,0,0.047784481698088396,0.3667569725417185,0.4024633467197418,0.7012511361813613,0.23226197740866822
2959075605,2959075606,0,0.0711355793737107,0.42666845703242195,0.34463614225387573,0.627305779821419,0.2320786540571649
5567121504,13527768314,0,0.0787805005750162,0.4243279347533957,0.3442225158214569,0.6179534477534798,0.23166502762474608
13527768314,5567121504,0,0.0787805005750162,0.4243279347533957,0.3442225158214569,0.6179534477534798,0.23166502762474608
13527768314,13527768313,0,0.0787805005750162,0.4243279347533957,0.34417417645454407,0.6178554242634872,0.23161668825783324
13527768313,13527768314,0,0.0787805005750162,0.4243279347533957,0.34417417645454407,0.6178554242634872,0.23161668825783324
13948158743,13948158742,0,0.0323699285992405,0.43102359299948756,0.34325477480888367,0.48441872070434333,0.23069728661217284
13948158742,13948158743,0,0.0323699285992405,0.43102359299948756,0.34325477480888367,0.48441872070434333,0.23069728661217284
9422950942,13948158743,0,0.0323699285992405,0.43102359299948756,0.34324347972869873,0.4841424726870912,0.2306859915319879
13948158743,9422950942,0,0.0323699285992405,0.43102359299948756,0.34324347972869873,0.4841424726870912,0.2306859915319879
5169912244,6942405310,0,0.047784481698088396,0.3706531950158496,0.4006771445274353,0.7019684899035805,0.2304757752163617
6942405310,5169912244,0,0.047784481698088396,0.3706531950158496,0.4006771445274353,0.7019684899035805,0.2304757752163617
8588501329,2552445036,0,0.0787805005750162,0.4528114474901201,0.34299159049987793,0.6278939207613752,0.2304341023031671
5567121743,5567121742,0,0.0787805005750162,0.31692615010782726,0.4000399112701416,0.6128384038211339,0.229838541959068
5567121742,5567121743,0,0.0787805005750162,0.31692615010782726,0.4000399112701416,0.6128384038211339,0.229838541959068
13527768313,13527768320,0,0.0787805005750162,0.3880908931297073,0.4000193774700165,0.6269270527009927,0.22981800815894288
13527768320,13527768313,0,0.0787805005750162,0.3880908931297073,0.4000193774700165,0.6269270527009927,0.22981800815894288
5903376055,13390679456,0,0.0711355793737107,0.4184626149387388,0.3402441740036011,0.6327995508741913,0.22768668580689025
13390679456,5903376055,0,0.0711355793737107,0.4184626149387388,0.3402441740036011,0.6327995508741913,0.22768668580689025
5567121672,5567121637,0,0.0787805005750162,0.4747905592831372,0.33999526500701904,0.609786308791816,0.22743777681030822
11538729773,6942405310,0,0.047784481698088396,0.3732719939374604,0.3974975049495697,0.699909996613734,0.2272961356384961
6942405310,11538729773,0,0.047784481698088396,0.3732719939374604,0.3974975049495697,0.699909996613734,0.2272961356384961
7097821721,13390285485,0,0.1895614566072629,0.3157640057396644,0.43233463168144226,0.8741779393680158,0.226891670384353
13390285485,7097821721,0,0.1895614566072629,0.3157640057396644,0.43233463168144226,0.8741779393680158,0.226891670384353
13390285491,13390295422,0,0.11219392255572891,0.3311856948285998,0.43228885531425476,0.7733563242973498,0.2268458940171655
13390295422,13390285491,0,0.11219392255572891,0.3311856948285998,0.43228885531425476,0.7733563242973498,0.2268458940171655
1116415270,9199555712,0,0.047784481698088396,0.40504153167756696,0.33830782771110535,0.667998895007931,0.22575033951439452
9199555712,1116415270,0,0.047784481698088396,0.40504153167756696,0.33830782771110535,0.667998895007931,0.22575033951439452
8485193545,8485193552,0,0.0323699285992405,0.40187596994411984,0.33816102147102356,0.5079800032080415,0.22560353327431273
8485193552,8485193545,0,0.0323699285992405,0.40187596994411984,0.33816102147102356,0.5079800032080415,0.22560353327431273
8285753074,1116415353,0,0.0711355793737107,0.38206237298037293,0.3957812190055847,0.6237769341816821,0.22557984969451111
11991836076,11991836077,0,0.0711355793737107,0.4258305833315881,0.3379601836204529,0.6847787342494074,0.22540269542374206
11991836077,11991836076,0,0.0711355793737107,0.4258305833315881,0.3379601836204529,0.6847787342494074,0.22540269542374206
8485193697,3890290932,0,0.03770874261714163,0.40903600297917275,0.33769088983535767,0.5364335489850113,0.22513340163864684
3890290932,8485193697,0,0.03770874261714163,0.40903600297917275,0.33769088983535767,0.5364335489850113,0.22513340163864684
5187649754,8591803421,0,0.026912875341344823,0.43712537231153026,0.3370647132396698,0.45688303124275964,0.22450722504295897
8591803421,5187649754,0,0.026912875341344823,0.43712537231153026,0.3370647132396698,0.45688303124275964,0.22450722504295897
8591803421,2397991653,0,0.026912875341344823,0.43712537231153026,0.33700621128082275,0.45662906129141495,0.22444872308411193
13891709997,8338346355,0,0.0323699285992405,0.4605560557352567,0.33624839782714844,0.48527419843518865,0.2236909096304376
8338346355,13891709997,0,0.0323699285992405,0.4605560557352567,0.33624839782714844,0.48527419843518865,0.2236909096304376
13390709843,13390709846,0,0.0323699285992405,0.43569003652070143,0.3356810510158539,0.49791922864424604,0.22312356281914306
13390709846,13390709843,0,0.0323699285992405,0.43569003652070143,0.3356810510158539,0.49791922864424604,0.22312356281914306
13390709843,13390709845,0,0.0323699285992405,0.43569003652070143,0.3356214165687561,0.4981152756242314,0.22306392837204528
13390709845,13390709843,0,0.0323699285992405,0.43569003652070143,0.3356214165687561,0.4981152756242314,0.22306392837204528
4848372868,4848372870,0,0.06319453063688193,0.3369781801508087,0.3932334780693054,0.7718592382683704,0.22303210875823182
4848372870,4848372868,0,0.06319453063688193,0.3369781801508087,0.3932334780693054,0.7718592382683704,0.22303210875823182
13142401569,13142401568,0,0.09375939477562627,0.40484550867459956,0.33556243777275085,0.9946309861163093,0.22300494957604003
13142401568,13142401569,0,0.09375939477562627,0.40484550867459956,0.33556243777275085,0.9946309861163093,0.22300494957604003
4471841889,4471841899,0,0.06319453063688193,0.33268046852718725,0.3922230899333954,0.764658967367089,0.22202172062232178
4471841899,4471841889,0,0.06319453063688193,0.33268046852718725,0.3922230899333954,0.764658967367089,0.22202172062232178
5567121784,5567121783,0,0.0787805005750162,0.4002899943143954,0.3340175747871399,0.663543281826445,0.22146008659042907
5567121783,5567121784,0,0.0787805005750162,0.4002899943143954,0.3340175747871399,0.663543281826445,0.22146008659042907
8494014293,8485168408,0,0.044969250680825704,0.4177385094562526,0.3337080180644989,0.5175506603218735,0.22115052986778808
8485168408,8494014293,0,0.044969250680825704,0.4177385094562526,0.3337080180644989,0.5175506603218735,0.22115052986778808
11841287740,5187649754,0,0.026912875341344823,0.44277974845031143,0.33220258355140686,0.4573375037872712,0.21964509535469603
5187649754,11841287740,0,0.026912875341344823,0.44277974845031143,0.33220258355140686,0.4573375037872712,0.21964509535469603
9422950959,8338346355,0,0.0323699285992405,0.3933780551941829,0.3898366391658783,0.4849355718333957,0.2196352698548047
8338346355,9422950959,0,0.0323699285992405,0.3933780551941829,0.3898366391658783,0.4849355718333957,0.2196352698548047
2184437907,5169912244,0,0.047784481698088396,0.42009937881150694,0.3320426344871521,0.7034611203193784,0.21948514629044127
8338346356,9422950949,0,0.0323699285992405,0.4496814708076033,0.3319673240184784,0.48495339428612166,0.21940983582176757
9422950949,8338346356,0,0.0323699285992405,0.4496814708076033,0.3319673240184784,0.48495339428612166,0.21940983582176757
5799495205,5799495165,0,0.036141979662552295,0.3254358658426305,0.3892430067062378,0.6230684916858258,0.2190416373951642
5799495165,5799495205,0,0.036141979662552295,0.3254358658426305,0.3892430067062378,0.6230684916858258,0.2190416373951642
4848372768,4848372775,0,0.06319453063688193,0.3116461597736272,0.3892114758491516,0.7792555561496373,0.219010106538078
4848372775,4848372768,0,0.06319453063688193,0.3116461597736272,0.3892114758491516,0.7792555561496373,0.219010106538078
2397989549,2704680854,0,0.027600862802237114,0.4696641072565977,0.33023300766944885,0.4618287618742091,0.21767551947273803
2704680854,2397989549,0,0.027600862802237114,0.4696641072565977,0.33023300766944885,0.4618287618742091,0.21767551947273803
8591803537,662290657,0,0.026912875341344823,0.4474581661104098,0.3301422595977783,0.4651259156285088,0.2175847714010675
662290657,8591803537,0,0.026912875341344823,0.4474581661104098,0.3301422595977783,0.4651259156285088,0.2175847714010675
6942405230,6942405231,0,0.036141979662552295,0.3364625525638961,0.38777509331703186,0.5759548379047924,0.21757372400595826
6942405231,6942405230,0,0.036141979662552295,0.3364625525638961,0.38777509331703186,0.5759548379047924,0.21757372400595826
2550435205,2550435281,0,0.06135440271599839,0.3296280313090303,0.38772672414779663,0.6093674811527563,0.21752535483672303
13111321798,13111322154,0,0.0711355793737107,0.4829832883925374,0.33001381158828735,0.6775071735372222,0.21745632339157653
13111322154,13111321798,0,0.0711355793737107,0.4829832883925374,0.33001381158828735,0.6775071735372222,0.21745632339157653
4848372870,4848372874,0,0.06319453063688193,0.3018174155526937,0.38720422983169556,0.7761366269225971,0.21700286052062195
4848372874,4848372870,0,0.06319453063688193,0.3018174155526937,0.38720422983169556,0.7761366269225971,0.21700286052062195
4848372768,4848372763,0,0.06319453063688193,0.29628171078647925,0.38648486137390137,0.7819734801903439,0.21628349206282776
4848372763,4848372768,0,0.06319453063688193,0.29628171078647925,0.38648486137390137,0.7819734801903439,0.21628349206282776
13948158760,13948158758,0,0.0323699285992405,0.4392079917277814,0.32873082160949707,0.4834473970307794,0.21617333341278624
13948158758,13948158760,0,0.0323699285992405,0.4392079917277814,0.32873082160949707,0.4834473970307794,0.21617333341278624
13948158754,13948158758,0,0.0323699285992405,0.4392079917277814,0.32861068844795227,0.4839820706125577,0.21605320025124145
13948158758,13948158754,0,0.0323699285992405,0.4392079917277814,0.32861068844795227,0.4839820706125577,0.21605320025124145
5195247203,4337209490,0,0.047784481698088396,0.4165440356670188,0.32839256525039673,0.6592302482667665,0.2158350770536859
4337209490,5195247203,0,0.047784481698088396,0.4165440356670188,0.32839256525039673,0.6592302482667665,0.2158350770536859
2576921216,3890290932,0,0.0323699285992405,0.4185662241549035,0.32780298590660095,0.526666844891194,0.21524549770989013
3890290932,2576921216,0,0.0323699285992405,0.4185662241549035,0.32780298590660095,0.526666844891194,0.21524549770989013
13948158744,13948158768,0,0.0323699285992405,0.4445751057243296,0.32776138186454773,0.48407118287618744,0.2152038936678369
13948158768,13948158744,0,0.0323699285992405,0.4445751057243296,0.32776138186454773,0.48407118287618744,0.2152038936678369
10964965605,8494014288,1,0.03556522519034975,0.4672426200294766,0.32775890827178955,0.5073027500044556,0.21520142007507873
8494014288,10964965605,1,0.03556522519034975,0.4672426200294766,0.32775890827178955,0.5073027500044556,0.21520142007507873
6942405234,6942405237,0,0.036141979662552295,0.3253597757783655,0.38534605503082275,0.5787262293036768,0.21514468571974915
6942405237,6942405234,0,0.036141979662552295,0.3253597757783655,0.38534605503082275,0.5787262293036768,0.21514468571974915
6942405233,6942405234,0,0.036141979662552295,0.3253597757783655,0.3853456974029541,0.5780935322319057,0.2151443280918805
