scenario_family,seed,n,pearson,spearman
moving_center,8101,1346616,0.23158642014406047,0.24341080032517068
moving_center,8102,1346616,0.23147041445541217,0.2434826184009032
moving_center,8103,1346616,0.23251858745244225,0.2432690663150361
moving_center,8104,1346616,0.2306139118440143,0.24330489644857092
moving_center,8105,1346616,0.2316442902825064,0.2434668099487626
moving_center,8106,1346616,0.2323118613253114,0.2432547805021947
moving_center,8107,1346616,0.2325169515472898,0.24334096689940268
moving_center,8108,1346616,0.23270747586177012,0.2437543547799709
moving_center,8109,1346616,0.23150456242692147,0.2435552235905087
moving_center,8110,1346616,0.23109615282509166,0.24323807237483172
moving_center,8111,1346616,0.22965801249382176,0.243460344838395
moving_center,8112,1346616,0.23279985901351627,0.2436057096037136
dual_center,8101,1346616,0.8253093124945682,0.848146141631789
dual_center,8102,1346616,0.8255004014709723,0.8484687117312493
dual_center,8103,1346616,0.8262655998471256,0.8484036019988209
dual_center,8104,1346616,0.8252354372523137,0.8482441273415842
dual_center,8105,1346616,0.8261825563007066,0.8484267127043144
dual_center,8106,1346616,0.8255448586817238,0.8482827733515725
dual_center,8107,1346616,0.8251316924660588,0.8483165958869083
dual_center,8108,1346616,0.8257737230140518,0.8483100442599573
dual_center,8109,1346616,0.8259139616444873,0.8484990168559065
dual_center,8110,1346616,0.8251987311758865,0.8484080254969464
dual_center,8111,1346616,0.8253838169765944,0.8486630725593228
dual_center,8112,1346616,0.8265125395957473,0.8484529553379032
anisotropic_band,8101,1346616,0.5227027388659177,0.6045442184841829
anisotropic_band,8102,1346616,0.5214783168091432,0.6045774569317423
anisotropic_band,8103,1346616,0.5216057660839539,0.6046421299200068
anisotropic_band,8104,1346616,0.5220182234797831,0.6046442350797764
anisotropic_band,8105,1346616,0.5219287314287732,0.6047157359037972
anisotropic_band,8106,1346616,0.5207618317583476,0.6043588083536775
anisotropic_band,8107,1346616,0.5222291449375883,0.6047356818688798
anisotropic_band,8108,1346616,0.522879277890392,0.6045903430734593
anisotropic_band,8109,1346616,0.5229320393887577,0.6048064012629268
anisotropic_band,8110,1346616,0.521089103033021,0.6047177697349403
anisotropic_band,8111,1346616,0.5216059715031618,0.6052559403394894
anisotropic_band,8112,1346616,0.5234609305480202,0.6047423406377468
