case_category,u,v,key,rain_truth,water_truth,planner_rain_component,planner_water_component,rain_only_risk,fusion_risk,edge_cost,selected_by_rain_route,selected_by_perfect_route,rain_risk_rank,fusion_risk_rank,risk_rank_change
worse,277049979,1116420116,0,0.6447517656776016,0.12817489,0.35461347112268093,0.025634978,0.6749545072764718,0.5838245704149674,755.27015211163,True,False,53.0,52.0,-1.0
worse,277663457,11846279852,0,0.27939167460586145,0.09203767,0.1536654210332238,0.018407535,0.5226984433692982,0.45092164786013383,6.588551551057749,True,False,108.0,102.0,-6.0
worse,278221801,278222025,0,0.8548726814543413,0.1066397,0.4701799747998877,0.02132794,0.7248856900313461,0.621844691384084,430.81656630135126,False,True,32.0,31.0,-1.0
worse,278221868,2299600479,0,0.8491855534554362,0.09983643,0.46705205440048997,0.019967286,0.7339835138701851,0.6282923334657695,854.5765444638138,False,True,29.0,28.0,-1.0
worse,278222025,278221868,0,0.8548726814543413,0.10802499,0.4701799747998877,0.021604998,0.71526392759687,0.6140574383388484,467.4760484607613,False,True,34.0,33.0,-1.0
worse,278376546,278376562,0,0.2769854684336506,0.023948269,0.15234200763850783,0.0047896537,0.5268973420729486,0.4430724965549383,1486.6569187767625,True,True,105.0,108.0,3.0
worse,278376560,2402254246,0,0.18334099630534223,0.01762049,0.10083754796793823,0.0035240983,0.4895414728775883,0.4108879758753102,43.10370658022909,True,True,116.0,117.0,1.0
worse,278376562,2409714565,0,0.18334099630534223,0.017621286,0.10083754796793823,0.0035242573,0.47431796106029744,0.3982018485858142,477.01525416819555,True,True,120.0,123.0,3.0
worse,278660437,9629031615,0,0.7634243645747211,0.122676425,0.4198834005160966,0.024535285,0.7647669603522245,0.6577518710738771,825.6703844178404,True,False,17.0,17.0,0.0
worse,279077746,2958627171,0,0.7605869818253357,0.11650006,0.41832284000393466,0.023300013,0.7972565979584988,0.6837971745120929,120.94419400393508,False,True,6.0,7.0,1.0
worse,793893694,1236299538,0,0.6447517656776016,0.13049595,0.35461347112268093,0.02609919,0.6843504792757819,0.5920413911597587,387.75405287898917,True,False,51.0,51.0,0.0
worse,793893696,1116420155,0,0.6447517656776016,0.13317306,0.35461347112268093,0.026634613,0.6923606639997069,0.5991627305659903,280.00844252313897,True,False,47.0,43.0,-4.0
worse,793893699,793893696,0,0.6447517656776016,0.13236447,0.35461347112268093,0.026472894,0.660229643635078,0.5722521141602958,947.8907844490209,True,False,58.0,57.0,-1.0
