scenario_family,seed,decision_step,timestamp,od_id,route_changed,route_overlap,rain_only_truth_exposure,perfect_water_truth_exposure,difference,global_edge_risk_rank_spearman
anisotropic_band,8103,4,2023-09-07 13:00:00+08:00,OD06,False,1.0,0.4518920978887344,0.4518920978887344,0.0,0.9995070667410884
anisotropic_band,8103,4,2023-09-07 13:00:00+08:00,OD07,True,0.9249436157487171,0.34205178837886213,0.3424687238854106,0.000416935506548477,0.9995070667410884
anisotropic_band,8103,4,2023-09-07 13:00:00+08:00,OD08,False,1.0,0.455740770716824,0.455740770716824,0.0,0.9995070667410884
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD01,False,1.0,0.5514884671946704,0.5514884671946704,0.0,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD02,True,0.5354455583444488,0.36917120500371126,0.3760127731437867,0.006841568140075471,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD03,False,1.0,0.4248860080432862,0.4248860080432862,0.0,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD04,False,1.0,0.4120560676033996,0.4120560676033996,0.0,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD05,False,1.0,0.39272038040620894,0.39272038040620894,0.0,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD06,False,1.0,0.6231907999039893,0.6231907999039893,0.0,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD07,False,1.0,0.5264806658192558,0.5264806658192558,0.0,0.9928141081817445
anisotropic_band,8103,8,2023-09-07 14:00:00+08:00,OD08,False,1.0,0.5013560751701689,0.5013560751701689,0.0,0.9928141081817445
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD01,False,1.0,0.4117115850002644,0.4117115850002644,0.0,0.9995079989413453
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD02,False,1.0,0.32477062839307,0.32477062839307,0.0,0.9995079989413453
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD03,False,1.0,0.3840482294701277,0.3840482294701277,0.0,0.9995079989413453
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD04,False,1.0,0.4380872063629642,0.4380872063629642,0.0,0.9995079989413453
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD05,False,1.0,0.40623329868554076,0.40623329868554076,0.0,0.9995079989413453
anisotropic_band,8104,4,2023-09-07 13:00:00+08:00,OD06,False,1.0,0.4514348262770666,0.4514348262770666,0.0,0.9995079989413453
