case_category,u,v,key,rain_truth,water_truth,planner_rain_component,planner_water_component,rain_only_risk,fusion_risk,edge_cost,selected_by_rain_route,selected_by_perfect_route,rain_risk_rank,fusion_risk_rank,risk_rank_change
equal,278659737,582493057,0,0.14347609486802654,0.015857797,0.0789118521774146,0.0031715594,0.45524841119935716,0.38201664218547116,308.59967675174005,True,True,47.0,47.0,0.0
equal,278660193,2533191675,0,0.813242467147209,0.08782813,0.447283356930965,0.017565627,0.7284298182987476,0.6216628701706153,794.5951795336961,True,True,19.0,19.0,0.0
equal,582493057,1116415170,0,0.14347609486802654,0.015983937,0.0789118521774146,0.0031967876,0.4540759408688873,0.3810606069421048,78.90366329898151,True,True,48.0,48.0,0.0
equal,1116415170,2184437920,0,0.14347609486802654,0.016043905,0.0789118521774146,0.0032087811,0.4097266161372078,0.34411283097580175,195.6563900469883,True,True,63.0,65.0,2.0
equal,1116415199,2699550405,0,0.14347609486802654,0.015800133,0.0789118521774146,0.0031600266,0.45785130209281844,0.3841761073019339,177.9353426659678,True,True,46.0,46.0,0.0
equal,1116415219,1116415308,0,0.2463944380761096,0.021767952,0.1355169409418603,0.0043535903,0.39516140331183464,0.33292916135121214,490.1533596437517,True,True,77.0,79.0,2.0
equal,1116415235,2299647832,0,0.9013796075434,0.10666473,0.49575878414887004,0.021332948,0.7936217048145735,0.6791288760285745,326.2891612374411,True,True,9.0,11.0,2.0
equal,1116415254,278660193,0,0.8677713996439366,0.09952645,0.47727426980416515,0.01990529,0.792962209489966,0.677389582914631,737.8542845823413,True,True,11.0,12.0,1.0
equal,1116415270,5169911847,0,0.14347609486802654,0.015711792,0.0789118521774146,0.0031423585,0.3396895227627911,0.2856932342712215,745.4026962536589,True,True,96.0,95.0,-1.0
equal,1116415308,5194055690,0,0.2463944380761096,0.021707606,0.1355169409418603,0.0043415213,0.41275607734651537,0.34758133205052194,175.5036069094818,True,True,60.0,61.0,1.0
equal,1116415353,2959075437,0,0.61762466742975,0.06251151,0.3396935670863625,0.012502302,0.5635287138605667,0.4800258467416426,847.5626658493107,True,True,31.0,31.0,0.0
equal,1116415372,1116415235,0,0.9013796075434,0.10481577,0.49575878414887004,0.020963155,0.8553280679770479,0.7302426855918575,603.6829422263884,True,True,4.0,4.0,0.0
equal,1116503117,9906911297,0,0.050159737158591414,0.011216818,0.027587855437225278,0.0022433638,0.3594172239181972,0.30138382299100164,146.1009852460514,True,True,90.0,91.0,1.0
