u,v,length,shortest_cost,risk_cost,trusted_cost
267052037,1492216900,183.64449381282628,183.64449381282628,849.5636807279241,985.8798927053477
269920080,6033482390,901.7199436537484,901.7199436537484,4116.269455170031,5410.31966192249
269920080,8109971648,260.2833238462932,260.2833238462932,1222.3214043830308,1413.9415150096158
269920080,2653614537,898.8698361282424,898.8698361282424,4242.0591894054005,5393.219016769454
277052169,499543273,166.0042489032642,166.0042489032642,828.6237194685809,870.6202496198231
277052169,277052181,108.83255056924033,108.83255056924033,536.9580297566602,564.4909966633151
277052169,2750593461,181.1506296960526,181.1506296960526,866.1374197766675,911.9657520766439
277052181,2750593322,168.81490440608744,168.81490440608744,734.9426740696275,777.6502569761388
277052181,277673161,190.2322296013152,190.2322296013152,899.0903267608711,947.2161646172573
277486655,8002408178,21.350286500815205,21.350286500815205,100.03943723175543,128.10171900489124
277486655,500017000,226.1552569731488,226.1552569731488,1027.5775102535142,1184.7142472437226
277486655,2319202434,11.317563994828266,11.317563994828266,52.989714156137225,67.9053839689696
277486655,7252057847,168.13996073360823,168.13996073360823,787.7160757915929,904.542742308029
277665082,1992853849,70.96272170356988,70.96272170356988,339.0135727622206,393.35256553283466
277665082,7953724239,152.5387008470869,152.5387008470869,751.0420288552085,845.535344203529
277665082,5269889123,107.6428275701767,107.6428275701767,524.6717793143637,551.9037645405382
277665237,5827544505,111.1390429540655,111.1390429540655,398.9110175565905,427.0274916784094
277665237,1722075257,118.8785693921964,118.8785693921964,315.68673720164344,345.7611928664812
277665237,8791690466,76.82470050535541,76.82470050535541,280.4538994708657,299.88937098710034
277665237,1722075265,97.33969973107956,97.33969973107956,381.5304582861892,406.15591011454154
277673161,499543273,105.87042786548943,105.87042786548943,506.4903808779666,533.273976149488
277673161,2750593369,86.83088914917364,86.83088914917364,412.70876536864864,434.6756492183351
277933349,7609471566,60.38681320405204,60.38681320405204,293.6168743879492,334.25918049606605
277933349,7609471561,69.92765985803304,69.92765985803304,335.3388024433504,353.0294284064546
