timestamp,policy,attempted,reason,candidate_improvement,route_changed,replan_count,route_change_count,planner_calls,confidence,observed_exposure,last_replan_at,distance_m,truth_exposure,max_truth_risk,p95_truth_risk,high_risk_length_ratio,computation_ms,scenario_type
2023-09-07T12:00:00+08:00,never,True,initial,,False,0,0,1,0.0,0.5740348993133693,2023-09-07T12:00:00+08:00,10279.902722198703,0.42070341732676886,0.5176770604300079,0.48680367704119853,0.0,101.60290001658723,simulated_extreme
2023-09-07T12:00:00+08:00,always,True,initial,,False,0,0,1,0.0,0.5740348993133693,2023-09-07T12:00:00+08:00,10279.902722198703,0.42070341732676886,0.5176770604300079,0.48680367704119853,0.0,98.00340002402663,simulated_extreme
2023-09-07T12:00:00+08:00,triggered,True,initial,,False,0,0,1,0.0,0.5740348993133693,2023-09-07T12:00:00+08:00,10279.902722198703,0.42070341732676886,0.5176770604300079,0.48680367704119853,0.0,98.20889995899051,simulated_extreme
2023-09-07T12:15:00+08:00,never,False,never,,False,0,0,1,0.0,0.5740348993133693,2023-09-07T12:00:00+08:00,10279.902722198703,0.5381871281911103,0.6402893916897856,0.6126064907301225,0.0,81.98409993201494,simulated_extreme
2023-09-07T12:15:00+08:00,always,True,always,0.0,False,1,0,2,0.0,0.5740348993133693,2023-09-07T12:15:00+08:00,10279.902722198703,0.5381871281911103,0.6402893916897856,0.6126064907301225,0.0,103.28829998616129,simulated_extreme
2023-09-07T12:15:00+08:00,triggered,False,keep_current,,False,0,0,1,0.0,0.5740348993133693,2023-09-07T12:00:00+08:00,10279.902722198703,0.5381871281911103,0.6402893916897856,0.6126064907301225,0.0,81.593899987638,simulated_extreme
2023-09-07T12:30:00+08:00,never,False,never,,False,0,0,1,0.4270821179948949,0.4272050337867494,2023-09-07T12:00:00+08:00,10279.902722198703,0.7096545572727844,0.8212812234719358,0.7860682424605273,0.8512424304430686,95.98959994036704,simulated_extreme
2023-09-07T12:30:00+08:00,always,True,always,0.00511208460087397,True,2,1,3,0.4270934540912152,0.42173479667400193,2023-09-07T12:30:00+08:00,10297.182344079098,0.7041958972032556,0.821382797142943,0.7860682424605273,0.8327486717126326,115.36070000147447,simulated_extreme
2023-09-07T12:30:00+08:00,triggered,False,keep_current,,False,0,0,1,0.4270821179948949,0.4272050337867494,2023-09-07T12:00:00+08:00,10279.902722198703,0.7096545572727844,0.8212812234719358,0.7860682424605273,0.8512424304430686,95.58540000580251,simulated_extreme
2023-09-07T12:45:00+08:00,never,False,never,,False,0,0,1,0.32903814687126814,0.5537150453453429,2023-09-07T12:00:00+08:00,10279.902722198703,0.8449174620290748,0.9264791958287948,0.9182750420427336,1.0,95.95369995804504,simulated_extreme
2023-09-07T12:45:00+08:00,always,True,always,0.0,False,3,1,4,0.32921400979561366,0.5483456027796633,2023-09-07T12:45:00+08:00,10297.182344079098,0.8393260792303062,0.9264791958287948,0.9182750420427336,1.0,116.63000000407919,simulated_extreme
2023-09-07T12:45:00+08:00,triggered,True,confidence,0.003842329353168839,False,1,0,2,0.32903814687126814,0.5537150453453429,2023-09-07T12:45:00+08:00,10279.902722198703,0.8449174620290748,0.9264791958287948,0.9182750420427336,1.0,115.24059996008873,simulated_extreme
2023-09-07T13:00:00+08:00,never,False,never,,False,0,0,1,0.2987434051676639,0.667932311336223,2023-09-07T12:00:00+08:00,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,96.01230005500838,simulated_extreme
2023-09-07T13:00:00+08:00,always,True,always,0.0,False,4,1,5,0.29758146857684864,0.6622757687980109,2023-09-07T13:00:00+08:00,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,115.73640001006424,simulated_extreme
2023-09-07T13:00:00+08:00,triggered,False,cooldown,,False,1,0,2,0.2987434051676639,0.667932311336223,2023-09-07T12:45:00+08:00,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,95.79900000244379,simulated_extreme
2023-09-07T13:15:00+08:00,never,False,never,,False,0,0,1,0.43030640994135777,0.8346295064150572,2023-09-07T12:00:00+08:00,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,88.0420000758022,simulated_extreme
2023-09-07T13:15:00+08:00,always,True,always,0.0,False,5,1,6,0.432612072716591,0.830237505046786,2023-09-07T13:15:00+08:00,10297.182344079098,0.8435682486818583,0.9264791958287948,0.9182750420427336,1.0,108.65200002444908,simulated_extreme
2023-09-07T13:15:00+08:00,triggered,True,confidence,0.0018157710759748819,False,2,0,3,0.43030640994135777,0.8346295064150572,2023-09-07T13:15:00+08:00,10279.902722198703,0.8490348993109841,0.9264791958287948,0.9182750420427336,1.0,106.41680005937815,simulated_extreme
2023-09-07T13:30:00+08:00,never,False,never,,False,0,0,1,0.345723019216128,0.7938048279038784,2023-09-07T12:00:00+08:00,10279.902722198703,0.8486817703585233,0.9264791958287948,0.9182750420427336,1.0,92.88960002595559,simulated_extreme
2023-09-07T13:30:00+08:00,always,True,always,0.0007114241458400309,True,6,2,7,0.34572903603830674,0.7935932247100417,2023-09-07T13:30:00+08:00,10280.604724805988,0.8484664199379705,0.9264791958287948,0.9182750420427336,1.0,112.85219999263063,simulated_extreme
2023-09-07T13:30:00+08:00,triggered,False,keep_current,,False,2,0,3,0.345723019216128,0.7938048279038784,2023-09-07T13:15:00+08:00,10279.902722198703,0.8486817703585233,0.9264791958287948,0.9182750420427336,1.0,92.40530000533909,simulated_extreme
2023-09-07T13:45:00+08:00,never,False,never,,False,0,0,1,0.33299636782399367,0.7868390296051812,2023-09-07T12:00:00+08:00,10279.902722198703,0.7964158253622122,0.9226462954941541,0.9182750420427336,0.9214455538782012,90.78639996005222,simulated_extreme
2023-09-07T13:45:00+08:00,always,True,always,0.0,False,7,2,8,0.3330032536750572,0.7866279020651311,2023-09-07T13:45:00+08:00,10280.604724805988,0.7962007393397055,0.9226462954941541,0.9182750420427336,0.9214509179037103,111.90159997204319,simulated_extreme
